#geneID	Treated_vs_Control
ENSMUSG00000026409	-0.0197
ENSMUSG00000026413	0.0037
ENSMUSG00000026414	-0.4836
ENSMUSG00000026416	-0.0495
ENSMUSG00000026417	-0.0190
ENSMUSG00000026418	-0.0448
ENSMUSG00000026420	0.1815
ENSMUSG00000026421	0.3095
ENSMUSG00000026425	-0.1224
ENSMUSG00000026426	-0.6487
ENSMUSG00000026429	0.3794
ENSMUSG00000026430	0.3948
ENSMUSG00000026432	0.0631
ENSMUSG00000026435	-0.0620
ENSMUSG00000026436	0.2826
ENSMUSG00000026439	-0.1632
ENSMUSG00000026442	0.4684
ENSMUSG00000026447	-0.4704
ENSMUSG00000026450	0.2426
ENSMUSG00000026456	-0.1262
ENSMUSG00000026457	-0.3412
ENSMUSG00000026458	-0.1945
ENSMUSG00000026463	-0.6612
ENSMUSG00000026470	0.4748
ENSMUSG00000026473	0.3331
ENSMUSG00000026478	1.3533
ENSMUSG00000026479	-0.0800
ENSMUSG00000026480	-1.0325
ENSMUSG00000026482	0.6927
ENSMUSG00000026484	-0.2237
ENSMUSG00000026491	-0.0553
ENSMUSG00000026494	0.2886
ENSMUSG00000026496	0.3217
ENSMUSG00000026499	0.2016
ENSMUSG00000026500	-0.2051
ENSMUSG00000026509	1.0053
ENSMUSG00000026510	-0.4561
ENSMUSG00000026511	0.4495
ENSMUSG00000026516	-2.4874
ENSMUSG00000026520	-0.0079
ENSMUSG00000026526	-0.2353
ENSMUSG00000026535	-1.8293
ENSMUSG00000026556	-0.5867
ENSMUSG00000026558	-0.4521
ENSMUSG00000026560	0.1169
ENSMUSG00000026565	0.7846
ENSMUSG00000026567	0.5851
ENSMUSG00000026568	0.3082
ENSMUSG00000026573	0.2694
ENSMUSG00000026575	-0.3185
ENSMUSG00000026576	0.2798
ENSMUSG00000026579	0.0481
ENSMUSG00000026580	-0.2083
ENSMUSG00000026581	-0.0371
ENSMUSG00000026582	0.6308
ENSMUSG00000026585	-0.2419
ENSMUSG00000026596	0.3723
ENSMUSG00000026600	0.3659
ENSMUSG00000026602	0.8249
ENSMUSG00000026603	-0.6818
ENSMUSG00000026615	0.2204
ENSMUSG00000026616	-0.3883
ENSMUSG00000026617	-0.2582
ENSMUSG00000026618	-0.2566
ENSMUSG00000026623	-0.5344
ENSMUSG00000026626	-0.0487
ENSMUSG00000026630	0.4866
ENSMUSG00000026637	-0.2920
ENSMUSG00000026639	-0.0554
ENSMUSG00000026640	-0.6347
ENSMUSG00000026645	-0.8511
ENSMUSG00000026646	0.0229
ENSMUSG00000026648	0.3217
ENSMUSG00000026656	0.6232
ENSMUSG00000026662	-1.5544
ENSMUSG00000026663	0.4020
ENSMUSG00000026664	0.1242
ENSMUSG00000026670	0.2917
ENSMUSG00000026672	0.0114
ENSMUSG00000026675	-0.0556
ENSMUSG00000026687	-0.1581
ENSMUSG00000026688	-0.6874
ENSMUSG00000026691	0.0280
ENSMUSG00000026692	-0.3046
ENSMUSG00000026696	0.6008
ENSMUSG00000026698	0.3199
ENSMUSG00000026700	0.3086
ENSMUSG00000026701	0.4378
ENSMUSG00000026709	0.0942
ENSMUSG00000026712	-0.1145
ENSMUSG00000026715	0.1605
ENSMUSG00000026718	0.2631
ENSMUSG00000026725	0.5208
ENSMUSG00000026726	-0.3245
ENSMUSG00000026728	0.3306
ENSMUSG00000026737	0.1010
ENSMUSG00000026739	-0.6016
ENSMUSG00000026740	-0.5080
ENSMUSG00000026750	-0.0589
ENSMUSG00000026751	0.1412
ENSMUSG00000026755	-0.4026
ENSMUSG00000026761	-0.1159
ENSMUSG00000026764	0.6118
ENSMUSG00000026765	0.2090
ENSMUSG00000026766	0.0775
ENSMUSG00000026768	0.1472
ENSMUSG00000026770	0.2693
ENSMUSG00000026771	0.4202
ENSMUSG00000026773	-0.3751
ENSMUSG00000026778	-0.1157
ENSMUSG00000026782	-0.3347
ENSMUSG00000026784	-0.8907
ENSMUSG00000026785	-0.2660
ENSMUSG00000026786	-0.1324
ENSMUSG00000026787	0.4311
ENSMUSG00000026797	1.0741
ENSMUSG00000026798	-0.5171
ENSMUSG00000026799	-0.4967
ENSMUSG00000026803	-0.4396
ENSMUSG00000026807	0.0673
ENSMUSG00000026810	-2.1607
ENSMUSG00000026811	-0.0588
ENSMUSG00000026812	0.1684
ENSMUSG00000026817	-1.5572
ENSMUSG00000026818	0.4416
ENSMUSG00000026820	0.9829
ENSMUSG00000026821	-0.6317
ENSMUSG00000026822	0.2144
ENSMUSG00000026824	0.2676
ENSMUSG00000026825	0.0527
ENSMUSG00000026826	-0.2600
ENSMUSG00000026827	0.3909
ENSMUSG00000026828	-0.2626
ENSMUSG00000026829	-0.8037
ENSMUSG00000026834	-0.2858
ENSMUSG00000026836	0.6988
ENSMUSG00000026837	-0.0213
ENSMUSG00000026839	-0.2886
ENSMUSG00000026840	-0.1355
ENSMUSG00000026842	0.2848
ENSMUSG00000026853	-0.1519
ENSMUSG00000026856	2.4861
ENSMUSG00000026860	-0.5490
ENSMUSG00000026864	-0.0934
ENSMUSG00000026866	-0.0531
ENSMUSG00000026872	-0.5395
ENSMUSG00000026873	-0.4996
ENSMUSG00000026874	0.3589
ENSMUSG00000026875	-0.1333
ENSMUSG00000026878	0.1061
ENSMUSG00000026879	-0.5197
ENSMUSG00000026883	0.0474
ENSMUSG00000026895	0.3288
ENSMUSG00000026896	-0.0126
ENSMUSG00000026914	0.4161
ENSMUSG00000026917	-0.4905
ENSMUSG00000026922	0.2063
ENSMUSG00000026923	-0.1238
ENSMUSG00000026925	-0.3599
ENSMUSG00000026928	-0.1290
ENSMUSG00000026930	0.1674
ENSMUSG00000026942	-0.8552
ENSMUSG00000026944	1.9894
ENSMUSG00000026950	0.1516
ENSMUSG00000026956	0.0616
ENSMUSG00000026959	-0.3401
ENSMUSG00000026965	0.4121
ENSMUSG00000026971	-0.0156
ENSMUSG00000026976	-0.2348
ENSMUSG00000026979	-0.0072
ENSMUSG00000026981	0.7216
ENSMUSG00000026983	0.4776
ENSMUSG00000026984	0.5070
ENSMUSG00000026985	-0.0042
ENSMUSG00000026986	0.5954
ENSMUSG00000026987	2.4249
ENSMUSG00000026994	0.1659
ENSMUSG00000026999	0.3621
ENSMUSG00000027002	0.3022
ENSMUSG00000027004	0.2423
ENSMUSG00000027006	-0.4396
ENSMUSG00000027009	-0.1227
ENSMUSG00000027011	0.1513
ENSMUSG00000027012	0.3494
ENSMUSG00000027015	-0.8208
ENSMUSG00000027018	-0.0734
ENSMUSG00000027022	-0.2398
ENSMUSG00000027030	-0.1868
ENSMUSG00000027035	-0.0245
ENSMUSG00000027048	0.2146
ENSMUSG00000027068	1.5677
ENSMUSG00000027070	-0.1438
ENSMUSG00000027071	-0.0614
ENSMUSG00000027073	-0.3085
ENSMUSG00000027078	0.5617
ENSMUSG00000027079	-0.0072
ENSMUSG00000027082	0.4777
ENSMUSG00000027087	-0.2560
ENSMUSG00000027088	-0.1413
ENSMUSG00000027099	-0.3234
ENSMUSG00000027104	-0.1371
ENSMUSG00000027107	-0.2627
ENSMUSG00000027111	-0.3348
ENSMUSG00000027115	-0.0154
ENSMUSG00000027120	-0.1255
ENSMUSG00000027133	2.7554
ENSMUSG00000027134	0.6012
ENSMUSG00000027164	0.3980
ENSMUSG00000027168	0.1431
ENSMUSG00000027176	-0.3286
ENSMUSG00000027177	-0.3515
ENSMUSG00000027185	2.3216
ENSMUSG00000027186	-0.8753
ENSMUSG00000027187	0.7229
ENSMUSG00000027195	0.2944
ENSMUSG00000027198	0.2909
ENSMUSG00000027199	0.2085
ENSMUSG00000027200	-0.2899
ENSMUSG00000027203	-0.6844
ENSMUSG00000027204	-0.0441
ENSMUSG00000027207	0.2734
ENSMUSG00000027208	-0.2789
ENSMUSG00000027215	0.1101
ENSMUSG00000027221	-0.6197
ENSMUSG00000027222	0.1737
ENSMUSG00000027223	-0.4212
ENSMUSG00000027225	0.2812
ENSMUSG00000027227	-0.1758
ENSMUSG00000027230	1.3850
ENSMUSG00000027244	-0.7065
ENSMUSG00000027246	0.2701
ENSMUSG00000027248	-0.4818
ENSMUSG00000027249	0.0381
ENSMUSG00000027254	-0.1777
ENSMUSG00000027255	0.0997
ENSMUSG00000027261	0.0644
ENSMUSG00000027273	0.5937
ENSMUSG00000027276	0.1293
ENSMUSG00000027287	-0.0298
ENSMUSG00000027291	-0.3391
ENSMUSG00000027293	0.1342
ENSMUSG00000027296	-0.1526
ENSMUSG00000027298	0.6517
ENSMUSG00000027300	0.0968
ENSMUSG00000027301	-0.3430
ENSMUSG00000027305	0.2803
ENSMUSG00000027313	0.8450
ENSMUSG00000027314	0.1301
ENSMUSG00000027315	0.2957
ENSMUSG00000027322	-0.0486
ENSMUSG00000027323	0.0442
ENSMUSG00000027326	-0.2295
ENSMUSG00000027330	-0.0933
ENSMUSG00000027332	0.3651
ENSMUSG00000027333	-0.1897
ENSMUSG00000027335	0.1825
ENSMUSG00000027339	-1.7220
ENSMUSG00000027342	1.6349
ENSMUSG00000027346	-0.0995
ENSMUSG00000027347	0.3650
ENSMUSG00000027357	0.0159
ENSMUSG00000027358	0.1220
ENSMUSG00000027359	0.6332
ENSMUSG00000027360	0.4146
ENSMUSG00000027363	-0.3560
ENSMUSG00000027365	-0.9236
ENSMUSG00000027368	-0.1487
ENSMUSG00000027374	-0.0232
ENSMUSG00000027379	-0.0381
ENSMUSG00000027381	-0.3139
ENSMUSG00000027384	-0.0303
ENSMUSG00000027395	-0.3744
ENSMUSG00000027398	0.3412
ENSMUSG00000027399	-0.0624
ENSMUSG00000027400	-0.0080
ENSMUSG00000027401	0.3997
ENSMUSG00000027404	-0.1854
ENSMUSG00000027405	0.4364
ENSMUSG00000027406	-1.1932
ENSMUSG00000027411	0.0213
ENSMUSG00000027412	0.0109
ENSMUSG00000027422	0.1000
ENSMUSG00000027423	0.1770
ENSMUSG00000027427	-2.5038
ENSMUSG00000027429	-0.2102
ENSMUSG00000027433	-0.3065
ENSMUSG00000027434	-0.2279
ENSMUSG00000027447	0.2990
ENSMUSG00000027452	-0.1668
ENSMUSG00000027455	0.0795
ENSMUSG00000027460	0.3352
ENSMUSG00000027463	-0.0376
ENSMUSG00000027466	0.0062
ENSMUSG00000027470	-0.0356
ENSMUSG00000027475	0.4932
ENSMUSG00000027478	0.0533
ENSMUSG00000027488	-0.1320
ENSMUSG00000027490	0.2572
ENSMUSG00000027496	0.2336
ENSMUSG00000027498	0.0261
ENSMUSG00000027499	-0.5173
ENSMUSG00000027509	0.0514
ENSMUSG00000027513	0.1845
ENSMUSG00000027514	0.6100
ENSMUSG00000027519	0.3277
ENSMUSG00000027522	-0.3176
ENSMUSG00000027523	-0.0515
ENSMUSG00000027524	0.7973
ENSMUSG00000027531	0.4039
ENSMUSG00000027533	-0.2370
ENSMUSG00000027536	-0.3880
ENSMUSG00000027540	0.1221
ENSMUSG00000027544	-0.1115
ENSMUSG00000027552	0.2021
ENSMUSG00000027555	-0.4792
ENSMUSG00000027556	0.2987
ENSMUSG00000027559	0.4814
ENSMUSG00000027562	-2.4866
ENSMUSG00000027566	0.0421
ENSMUSG00000027568	0.3850
ENSMUSG00000027569	2.5557
ENSMUSG00000027570	0.3039
ENSMUSG00000027575	0.1366
ENSMUSG00000027577	-0.1396
ENSMUSG00000027584	-0.0334
ENSMUSG00000027596	-0.0049
ENSMUSG00000027597	0.2529
ENSMUSG00000027598	-0.2533
ENSMUSG00000027602	-0.0619
ENSMUSG00000027603	0.5355
ENSMUSG00000027605	0.3602
ENSMUSG00000027606	0.3210
ENSMUSG00000027610	0.2343
ENSMUSG00000027611	-0.3957
ENSMUSG00000027612	-0.0924
ENSMUSG00000027613	2.3423
ENSMUSG00000027618	1.5848
ENSMUSG00000027624	-0.0614
ENSMUSG00000027630	-0.1242
ENSMUSG00000027639	0.0993
ENSMUSG00000027641	0.3500
ENSMUSG00000027642	-2.4642
ENSMUSG00000027643	-0.2932
ENSMUSG00000027646	0.3149
ENSMUSG00000027649	-0.0436
ENSMUSG00000027650	-0.1466
ENSMUSG00000027652	-0.1084
ENSMUSG00000027660	0.3549
ENSMUSG00000027663	0.6726
ENSMUSG00000027665	-0.0736
ENSMUSG00000027668	0.0925
ENSMUSG00000027669	-0.0170
ENSMUSG00000027671	3.3652
ENSMUSG00000027673	-0.4236
ENSMUSG00000027674	-0.1820
ENSMUSG00000027678	0.2255
ENSMUSG00000027684	-0.1543
ENSMUSG00000027690	-0.1028
ENSMUSG00000027695	0.6698
ENSMUSG00000027698	-0.8172
ENSMUSG00000027706	-0.0489
ENSMUSG00000027709	0.2837
ENSMUSG00000027714	0.2088
ENSMUSG00000027715	0.1675
ENSMUSG00000027716	0.1282
ENSMUSG00000027718	0.6137
ENSMUSG00000027720	0.4016
ENSMUSG00000027722	2.5674
ENSMUSG00000027737	-0.0739
ENSMUSG00000027739	-1.3677
ENSMUSG00000027748	-0.0358
ENSMUSG00000027751	0.3267
ENSMUSG00000027752	-0.2231
ENSMUSG00000027762	-0.0703
ENSMUSG00000027765	0.2815
ENSMUSG00000027770	-0.1532
ENSMUSG00000027776	-0.5437
ENSMUSG00000027782	-0.2395
ENSMUSG00000027787	2.2127
ENSMUSG00000027790	-0.2168
ENSMUSG00000027793	0.4151
ENSMUSG00000027796	-0.3217
ENSMUSG00000027803	-0.0684
ENSMUSG00000027804	-0.6695
ENSMUSG00000027805	0.1107
ENSMUSG00000027820	0.1975
ENSMUSG00000027822	0.3317
ENSMUSG00000027823	0.1645
ENSMUSG00000027828	0.5252
ENSMUSG00000027835	-1.9375
ENSMUSG00000027840	0.1575
ENSMUSG00000027852	0.4371
ENSMUSG00000027854	0.3554
ENSMUSG00000027857	-0.4624
ENSMUSG00000027859	0.2930
ENSMUSG00000027860	0.1851
ENSMUSG00000027861	-0.2133
ENSMUSG00000027863	0.7423
ENSMUSG00000027869	0.2760
ENSMUSG00000027870	-0.3022
ENSMUSG00000027871	0.1103
ENSMUSG00000027875	0.0500
ENSMUSG00000027876	-0.2176
ENSMUSG00000027878	-0.0458
ENSMUSG00000027879	0.4866
ENSMUSG00000027881	0.2564
ENSMUSG00000027889	0.1483
ENSMUSG00000027890	-0.1032
ENSMUSG00000027893	-0.2889
ENSMUSG00000027902	-0.0358
ENSMUSG00000027907	-0.0703
ENSMUSG00000027908	-0.0721
ENSMUSG00000027912	0.6842
ENSMUSG00000027919	0.0047
ENSMUSG00000027923	0.1658
ENSMUSG00000027931	-0.8326
ENSMUSG00000027932	0.3673
ENSMUSG00000027935	0.4679
ENSMUSG00000027936	0.1338
ENSMUSG00000027938	0.2704
ENSMUSG00000027939	0.0561
ENSMUSG00000027940	0.1374
ENSMUSG00000027947	-0.1607
ENSMUSG00000027950	-0.1200
ENSMUSG00000027951	0.4116
ENSMUSG00000027952	0.4252
ENSMUSG00000027954	0.4288
ENSMUSG00000027962	-0.3396
ENSMUSG00000027963	0.3314
ENSMUSG00000027966	0.2649
ENSMUSG00000027971	0.5246
ENSMUSG00000027977	-0.3692
ENSMUSG00000027983	0.6532
ENSMUSG00000027984	0.1391
ENSMUSG00000027985	-0.2253
ENSMUSG00000027995	0.6013
ENSMUSG00000027996	0.2171
ENSMUSG00000027997	-0.4944
ENSMUSG00000027998	-0.1874
ENSMUSG00000027999	0.3180
ENSMUSG00000028001	-0.0903
ENSMUSG00000028003	0.4169
ENSMUSG00000028004	-1.0468
ENSMUSG00000028005	0.5582
ENSMUSG00000028008	0.0625
ENSMUSG00000028010	-2.2967
ENSMUSG00000028011	0.1787
ENSMUSG00000028013	-0.2875
ENSMUSG00000028015	-3.0714
ENSMUSG00000028017	-0.6543
ENSMUSG00000028019	0.1693
ENSMUSG00000028020	-0.1721
ENSMUSG00000028023	-0.3478
ENSMUSG00000028024	0.2000
ENSMUSG00000028031	0.2699
ENSMUSG00000028032	0.2205
ENSMUSG00000028033	0.6182
ENSMUSG00000028036	0.8994
ENSMUSG00000028039	-0.1865
ENSMUSG00000028040	-0.3389
ENSMUSG00000028044	-0.0162
ENSMUSG00000028047	0.0055
ENSMUSG00000028048	2.5168
ENSMUSG00000028051	-0.2384
ENSMUSG00000028053	0.6694
ENSMUSG00000028059	0.5546
ENSMUSG00000028062	0.0799
ENSMUSG00000028063	0.5679
ENSMUSG00000028064	-0.2388
ENSMUSG00000028068	-0.0263
ENSMUSG00000028071	-0.2691
ENSMUSG00000028072	-0.0801
ENSMUSG00000028076	1.3734
ENSMUSG00000028081	-0.4728
ENSMUSG00000028085	0.5902
ENSMUSG00000028086	0.0189
ENSMUSG00000028088	-0.5383
ENSMUSG00000028099	3.3269
ENSMUSG00000028101	0.2669
ENSMUSG00000028102	-0.2506
ENSMUSG00000028104	2.2507
ENSMUSG00000028107	-0.3886
ENSMUSG00000028111	2.7555
ENSMUSG00000028116	-0.0714
ENSMUSG00000028124	0.5949
ENSMUSG00000028125	-1.5816
ENSMUSG00000028126	-0.0299
ENSMUSG00000028127	-0.6177
ENSMUSG00000028128	0.1776
ENSMUSG00000028138	-1.3368
ENSMUSG00000028140	0.4849
ENSMUSG00000028145	-0.1541
ENSMUSG00000028148	-0.1625
ENSMUSG00000028150	0.2627
ENSMUSG00000028156	1.8659
ENSMUSG00000028158	0.1383
ENSMUSG00000028159	0.2986
ENSMUSG00000028161	0.1371
ENSMUSG00000028163	-1.0292
ENSMUSG00000028164	2.8456
ENSMUSG00000028172	-0.0456
ENSMUSG00000028174	-0.2445
ENSMUSG00000028179	-0.2691
ENSMUSG00000028185	0.1167
ENSMUSG00000028186	-0.2175
ENSMUSG00000028191	-0.1555
ENSMUSG00000028197	-0.2454
ENSMUSG00000028207	-0.0043
ENSMUSG00000028212	0.1370
ENSMUSG00000028217	0.2823
ENSMUSG00000028221	0.2964
ENSMUSG00000028222	0.0869
ENSMUSG00000028224	-0.1160
ENSMUSG00000028226	0.0505
ENSMUSG00000028234	0.2599
ENSMUSG00000028236	0.1083
ENSMUSG00000028238	2.6575
ENSMUSG00000028240	0.4840
ENSMUSG00000028245	-0.0506
ENSMUSG00000028247	0.0111
ENSMUSG00000028255	1.1435
ENSMUSG00000028261	-0.1030
ENSMUSG00000028262	0.0064
ENSMUSG00000028268	-0.4958
ENSMUSG00000028270	0.4638
ENSMUSG00000028271	2.5906
ENSMUSG00000028273	0.0790
ENSMUSG00000028274	0.2934
ENSMUSG00000028277	0.2126
ENSMUSG00000028278	-0.3677
ENSMUSG00000028280	-0.8545
ENSMUSG00000028284	0.4835
ENSMUSG00000028287	-2.2242
ENSMUSG00000028289	-0.4978
ENSMUSG00000028292	-0.5378
ENSMUSG00000028298	-0.4839
ENSMUSG00000028300	-0.0307
ENSMUSG00000028307	-0.1732
ENSMUSG00000028310	-0.1794
ENSMUSG00000028318	3.3586
ENSMUSG00000028322	-0.5058
ENSMUSG00000028328	0.4399
ENSMUSG00000028329	-0.3328
ENSMUSG00000028330	-0.7884
ENSMUSG00000028334	-0.1107
ENSMUSG00000028339	0.1740
ENSMUSG00000028341	0.1600
ENSMUSG00000028344	0.1776
ENSMUSG00000028345	0.3095
ENSMUSG00000028354	-0.3039
ENSMUSG00000028357	0.1941
ENSMUSG00000028360	0.2514
ENSMUSG00000028362	0.0649
ENSMUSG00000028364	0.5879
ENSMUSG00000028367	-0.0971
ENSMUSG00000028378	0.1654
ENSMUSG00000028381	0.7344
ENSMUSG00000028393	0.3237
ENSMUSG00000028394	2.3524
ENSMUSG00000028399	0.6338
ENSMUSG00000028402	0.5320
ENSMUSG00000028405	-0.9167
ENSMUSG00000028410	-0.0272
ENSMUSG00000028411	0.0713
ENSMUSG00000028412	0.8184
ENSMUSG00000028413	-2.6984
ENSMUSG00000028414	0.1631
ENSMUSG00000028416	-0.4776
ENSMUSG00000028419	-1.6544
ENSMUSG00000028423	-0.5469
ENSMUSG00000028426	0.1904
ENSMUSG00000028427	0.3078
ENSMUSG00000028430	0.0047
ENSMUSG00000028434	0.7188
ENSMUSG00000028435	-0.3674
ENSMUSG00000028438	-0.0026
ENSMUSG00000028443	-0.4677
ENSMUSG00000028444	-0.1867
ENSMUSG00000028447	-0.1320
ENSMUSG00000028452	0.3103
ENSMUSG00000028453	0.1584
ENSMUSG00000028454	0.1971
ENSMUSG00000028456	0.2377
ENSMUSG00000028459	-0.1039
ENSMUSG00000028463	2.5555
ENSMUSG00000028464	0.0642
ENSMUSG00000028465	0.2072
ENSMUSG00000028466	0.0808
ENSMUSG00000028467	0.0420
ENSMUSG00000028469	0.0275
ENSMUSG00000028476	0.1416
ENSMUSG00000028478	2.9373
ENSMUSG00000028479	0.3211
ENSMUSG00000028484	0.0726
ENSMUSG00000028488	-0.0249
ENSMUSG00000028494	-0.5328
ENSMUSG00000028495	0.1158
ENSMUSG00000028496	-0.1368
ENSMUSG00000028497	0.3318
ENSMUSG00000028517	0.3517
ENSMUSG00000028518	-0.5613
ENSMUSG00000028519	-0.0248
ENSMUSG00000028523	0.1384
ENSMUSG00000028525	-0.2940
ENSMUSG00000028527	-0.0349
ENSMUSG00000028528	0.0474
ENSMUSG00000028530	-0.0241
ENSMUSG00000028538	-0.0181
ENSMUSG00000028539	0.3026
ENSMUSG00000028541	1.8387
ENSMUSG00000028542	0.8228
ENSMUSG00000028550	-0.0857
ENSMUSG00000028551	-0.0063
ENSMUSG00000028552	-0.4068
ENSMUSG00000028553	0.5862
ENSMUSG00000028558	0.5142
ENSMUSG00000028560	0.7337
ENSMUSG00000028567	-0.1971
ENSMUSG00000028571	-0.7612
ENSMUSG00000028573	-0.1986
ENSMUSG00000028577	0.4248
ENSMUSG00000028580	-0.4758
ENSMUSG00000028581	2.3268
ENSMUSG00000028587	0.1415
ENSMUSG00000028597	-0.0655
ENSMUSG00000028599	0.1256
ENSMUSG00000028602	0.4542
ENSMUSG00000028603	-0.1403
ENSMUSG00000028607	0.5598
ENSMUSG00000028609	-0.4910
ENSMUSG00000028614	-0.3027
ENSMUSG00000028621	0.2865
ENSMUSG00000028622	0.0581
ENSMUSG00000028626	-0.0627
ENSMUSG00000028631	-0.1855
ENSMUSG00000028633	-0.2091
ENSMUSG00000028635	-0.3300
ENSMUSG00000028636	-0.0673
ENSMUSG00000028645	-0.0041
ENSMUSG00000028646	0.1577
ENSMUSG00000028648	0.3459
ENSMUSG00000028651	0.2788
ENSMUSG00000028653	0.0927
ENSMUSG00000028657	2.3952
ENSMUSG00000028661	0.0245
ENSMUSG00000028664	-0.2584
ENSMUSG00000028670	0.3664
ENSMUSG00000028671	0.1028
ENSMUSG00000028672	0.0687
ENSMUSG00000028673	0.7793
ENSMUSG00000028676	0.0575
ENSMUSG00000028678	0.1668
ENSMUSG00000028680	0.5384
ENSMUSG00000028681	-0.2938
ENSMUSG00000028683	-0.0123
ENSMUSG00000028684	-0.3338
ENSMUSG00000028687	-0.1526
ENSMUSG00000028690	0.0046
ENSMUSG00000028691	0.1047
ENSMUSG00000028692	-0.2789
ENSMUSG00000028698	-0.1442
ENSMUSG00000028700	0.9987
ENSMUSG00000028702	-0.1716
ENSMUSG00000028708	0.3072
ENSMUSG00000028712	-0.0852
ENSMUSG00000028715	-0.0632
ENSMUSG00000028719	0.3281
ENSMUSG00000028736	-1.3436
ENSMUSG00000028737	0.5172
ENSMUSG00000028738	-0.1441
ENSMUSG00000028743	0.3600
ENSMUSG00000028744	0.5978
ENSMUSG00000028745	0.3867
ENSMUSG00000028747	-0.2974
ENSMUSG00000028749	-0.0881
ENSMUSG00000028750	-0.3796
ENSMUSG00000028751	0.5595
ENSMUSG00000028755	-0.3211
ENSMUSG00000028756	0.4985
ENSMUSG00000028757	2.6312
ENSMUSG00000028758	0.4237
ENSMUSG00000028760	-0.2342
ENSMUSG00000028763	-0.2116
ENSMUSG00000028766	-0.1773
ENSMUSG00000028773	-0.5581
ENSMUSG00000028777	0.1597
ENSMUSG00000028778	0.6342
ENSMUSG00000028780	-0.3061
ENSMUSG00000028789	-1.8920
ENSMUSG00000028792	-0.1161
ENSMUSG00000028794	0.5606
ENSMUSG00000028796	0.3326
ENSMUSG00000028800	2.4242
ENSMUSG00000028809	-0.0198
ENSMUSG00000028811	0.1742
ENSMUSG00000028821	-0.1940
ENSMUSG00000028832	-0.0872
ENSMUSG00000028833	0.0359
ENSMUSG00000028834	-0.2031
ENSMUSG00000028837	-0.2395
ENSMUSG00000028838	0.3507
ENSMUSG00000028854	-0.0643
ENSMUSG00000028859	-1.3415
ENSMUSG00000028861	0.0548
ENSMUSG00000028862	0.2748
ENSMUSG00000028863	-0.3035
ENSMUSG00000028864	0.2211
ENSMUSG00000028868	-0.0619
ENSMUSG00000028869	-0.2949
ENSMUSG00000028871	-0.1747
ENSMUSG00000028874	0.0857
ENSMUSG00000028879	0.0242
ENSMUSG00000028883	-0.0005
ENSMUSG00000028884	-0.2182
ENSMUSG00000028893	-0.7903
ENSMUSG00000028894	-0.0060
ENSMUSG00000028899	2.1575
ENSMUSG00000028902	0.4244
ENSMUSG00000028910	-0.4835
ENSMUSG00000028911	0.3699
ENSMUSG00000028914	-0.5683
ENSMUSG00000028917	-0.5876
ENSMUSG00000028926	-0.4644
ENSMUSG00000028927	0.2520
ENSMUSG00000028932	-0.3305
ENSMUSG00000028933	0.0606
ENSMUSG00000028936	0.0499
ENSMUSG00000028937	-0.4614
ENSMUSG00000028938	0.4278
ENSMUSG00000028940	1.0249
ENSMUSG00000028944	-0.8291
ENSMUSG00000028945	0.4832
ENSMUSG00000028946	0.3677
ENSMUSG00000028949	-2.3030
ENSMUSG00000028950	0.1487
ENSMUSG00000028955	0.4828
ENSMUSG00000028957	-0.1602
ENSMUSG00000028960	0.0124
ENSMUSG00000028961	-0.3241
ENSMUSG00000028962	-0.2040
ENSMUSG00000028963	-0.2430
ENSMUSG00000028964	0.0479
ENSMUSG00000028965	-0.0569
ENSMUSG00000028969	-0.0294
ENSMUSG00000028970	-0.0709
ENSMUSG00000028971	-0.2374
ENSMUSG00000028972	2.3260
ENSMUSG00000028973	0.2935
ENSMUSG00000028974	-0.5613
ENSMUSG00000028975	-0.0345
ENSMUSG00000028976	0.1341
ENSMUSG00000028978	-0.0505
ENSMUSG00000028979	-0.1678
ENSMUSG00000028980	-0.3100
ENSMUSG00000028988	-0.2315
ENSMUSG00000028991	-0.3738
ENSMUSG00000028992	-0.0144
ENSMUSG00000028998	0.8356
ENSMUSG00000029003	-0.2920
ENSMUSG00000029004	-0.3586
ENSMUSG00000029009	-0.7561
ENSMUSG00000029012	-0.2859
ENSMUSG00000029019	0.7166
ENSMUSG00000029020	0.7387
ENSMUSG00000029026	0.2974
ENSMUSG00000029027	0.3604
ENSMUSG00000029033	0.0120
ENSMUSG00000029038	0.0900
ENSMUSG00000029047	-0.4271
ENSMUSG00000029050	0.2294
ENSMUSG00000029053	0.1405
ENSMUSG00000029054	0.3165
ENSMUSG00000029055	0.0906
ENSMUSG00000029059	0.0919
ENSMUSG00000029060	-0.2429
ENSMUSG00000029063	-0.3918
ENSMUSG00000029064	-0.2446
ENSMUSG00000029066	-0.2239
ENSMUSG00000029070	0.1128
ENSMUSG00000029071	0.1554
ENSMUSG00000029072	0.0442
ENSMUSG00000029075	-1.0475
ENSMUSG00000029082	0.2642
ENSMUSG00000029084	0.3161
ENSMUSG00000029086	0.3603
ENSMUSG00000029095	-0.2260
ENSMUSG00000029098	-0.1047
ENSMUSG00000029103	0.9839
ENSMUSG00000029104	0.5537
ENSMUSG00000029108	-0.6283
ENSMUSG00000029111	-0.1698
ENSMUSG00000029119	0.2202
ENSMUSG00000029120	-0.2045
ENSMUSG00000029122	0.1852
ENSMUSG00000029125	-0.3796
ENSMUSG00000029134	-0.0168
ENSMUSG00000029135	-0.7904
ENSMUSG00000029136	0.2073
ENSMUSG00000029145	-0.0758
