#geneID:::miRNA	T00h	T02h	T06h	T12h	T18h	T24h
ENSMUSG00000027207:::mmu-miR-339-5p	-0.5224	0.2257	-0.1918	-0.1742	0.0336	0.0947
ENSMUSG00000027244:::mmu-miR-340-5p	0.4948	0.2887	-0.2191	-0.3596	0.2742	-0.2930
ENSMUSG00000027293:::mmu-miR-341-5p	0.4089	-0.5602	-0.0733	-0.1071	0.3128	0.2017
ENSMUSG00000027300:::mmu-miR-342-5p	0.6839	-0.2209	1.0969	-0.4804	-0.0997	-0.5714
ENSMUSG00000027315:::mmu-miR-343-5p	0.3145	-0.1823	0.3910	-0.1344	-0.0713	-0.4121
ENSMUSG00000027478:::mmu-miR-344-5p	0.2576	-0.0589	0.2801	-0.0700	-0.5867	-0.7298
ENSMUSG00000027496:::mmu-miR-345-5p	-0.7997	-0.5936	-1.1175	-0.9679	-0.7019	-1.0634
ENSMUSG00000027522:::mmu-miR-346-5p	-0.1254	0.6238	0.0745	0.3442	0.5408	-0.1339
ENSMUSG00000027523:::mmu-miR-347-5p	-0.4410	-0.0632	0.0835	-0.2588	-0.1541	0.1605
ENSMUSG00000027531:::mmu-miR-348-5p	-0.0541	-0.5927	-0.4271	-0.2506	-0.2452	-0.1578
ENSMUSG00000027544:::mmu-miR-349-5p	-0.2822	-0.1553	-0.6402	0.2504	0.0530	0.0390
ENSMUSG00000027559:::mmu-miR-350-5p	-0.3457	-0.3393	0.4395	-0.1638	-0.1697	-0.3903
ENSMUSG00000027562:::mmu-miR-351-5p	-0.3116	-0.1898	-0.3112	-0.1645	-0.0432	0.5320
ENSMUSG00000027575:::mmu-miR-352-5p	0.2104	0.0832	0.1457	0.0657	-0.5254	0.4643
ENSMUSG00000027611:::mmu-miR-353-5p	-0.6083	-0.3396	-0.3968	-0.5925	0.4217	0.2750
ENSMUSG00000027643:::mmu-miR-354-5p	-0.1321	-0.0107	0.8406	0.3853	0.1492	-0.1330
ENSMUSG00000027671:::mmu-miR-355-5p	0.6012	0.8225	0.2615	-0.7979	-0.1434	-0.2960
ENSMUSG00000027765:::mmu-miR-356-5p	0.5691	-0.0342	0.4902	-0.0645	0.1466	0.1965
ENSMUSG00000027863:::mmu-miR-357-5p	0.2199	0.2255	0.2623	-0.7723	-0.1799	-0.6734
ENSMUSG00000027878:::mmu-miR-358-5p	-0.5831	-0.0708	-0.4781	0.3001	0.0393	0.4858
ENSMUSG00000027908:::mmu-miR-359-5p	0.3136	0.1356	-0.0422	-0.3251	0.3214	0.0429
ENSMUSG00000027936:::mmu-miR-360-5p	0.3613	-0.4462	0.2967	0.6320	-0.0330	-0.0645
ENSMUSG00000027971:::mmu-miR-361-5p	-0.5062	-0.2012	-0.3034	0.1535	-0.1090	-0.3921
ENSMUSG00000027983:::mmu-miR-362-5p	0.5108	0.7471	0.0588	-0.7944	0.3077	-0.0275
ENSMUSG00000027984:::mmu-miR-363-5p	-0.2594	0.0617	-0.1098	0.2056	-0.1132	0.5413
ENSMUSG00000028047:::mmu-miR-364-5p	-0.3536	0.7185	0.3813	-0.1893	-0.1320	0.3814
ENSMUSG00000028145:::mmu-miR-365-5p	-0.3683	-0.3510	-0.0405	-0.1656	0.3836	0.4710
ENSMUSG00000028191:::mmu-miR-366-5p	0.7567	0.0419	0.4438	0.5607	0.8585	0.6279
ENSMUSG00000028240:::mmu-miR-367-5p	-0.2185	0.1443	-0.1108	0.2774	-0.1477	-0.1118
ENSMUSG00000028255:::mmu-miR-368-5p	1.1439	0.3767	0.2546	0.2422	-0.2779	0.0852
ENSMUSG00000028284:::mmu-miR-369-5p	-0.1765	-0.0216	-0.7516	-0.6492	-0.0442	0.3264
ENSMUSG00000028357:::mmu-miR-370-5p	0.2720	-0.0817	-0.5354	-0.0866	-0.6098	0.2821
ENSMUSG00000028367:::mmu-miR-371-5p	0.0422	0.2124	-0.2671	0.4047	-0.0110	0.2519
ENSMUSG00000028410:::mmu-miR-372-5p	-0.4670	-0.1014	0.1111	0.0869	0.1414	-0.0088
ENSMUSG00000028411:::mmu-miR-373-5p	0.1029	0.4210	0.2555	0.5758	-0.3748	-0.0039
ENSMUSG00000028413:::mmu-miR-374-5p	-0.1432	0.1225	0.2778	-0.0838	0.1303	-0.0302
ENSMUSG00000028430:::mmu-miR-375-5p	-0.1341	0.2631	0.3359	-0.0968	0.5444	0.8291
ENSMUSG00000028443:::mmu-miR-376-5p	0.1764	0.0300	0.7435	-0.4959	-0.1282	-0.4270
ENSMUSG00000028519:::mmu-miR-377-5p	-0.1280	0.1163	-0.3756	0.2420	1.0521	0.1793
ENSMUSG00000028527:::mmu-miR-378-5p	0.0336	-0.1420	-0.1289	0.1704	-0.3683	0.3288
ENSMUSG00000028541:::mmu-miR-379-5p	0.1326	0.1731	-0.3931	-0.0388	-0.1420	0.1966
ENSMUSG00000028691:::mmu-miR-380-5p	0.1085	0.0521	0.2921	-0.0779	-0.1002	0.6953
ENSMUSG00000028719:::mmu-miR-381-5p	0.3584	-0.5215	-0.5712	-0.3536	0.0793	-0.4012
ENSMUSG00000028745:::mmu-miR-382-5p	-0.3745	-0.5906	-0.0555	0.5063	-0.1588	-0.2786
ENSMUSG00000028755:::mmu-miR-383-5p	-0.0398	0.1778	0.1186	0.2038	0.4029	-0.3056
ENSMUSG00000028777:::mmu-miR-384-5p	0.7583	0.0480	0.9923	-0.2045	-0.1677	0.3806
ENSMUSG00000028884:::mmu-miR-385-5p	0.1504	-0.2234	0.3106	-0.3048	0.4899	0.0343
ENSMUSG00000028893:::mmu-miR-386-5p	-0.1281	-0.3633	-0.3120	-0.0725	-0.1204	0.0563
ENSMUSG00000028902:::mmu-miR-387-5p	0.1195	0.3778	0.7254	-0.4088	-0.1648	-0.3247
ENSMUSG00000028938:::mmu-miR-388-5p	-0.7105	-0.1527	-0.9801	0.2838	0.0844	-0.1872
ENSMUSG00000028940:::mmu-miR-389-5p	0.5115	0.4394	-0.1114	-0.1260	0.2754	-0.3297
ENSMUSG00000028991:::mmu-miR-390-5p	0.3292	-0.2704	-0.1895	0.0577	-0.1994	-0.4888
ENSMUSG00000029003:::mmu-miR-391-5p	-0.0084	-0.4641	0.1404	0.9826	-0.3970	-0.3132
ENSMUSG00000029020:::mmu-miR-392-5p	-0.3886	-0.6954	-0.0272	0.2070	-0.2938	-0.2708
ENSMUSG00000029027:::mmu-miR-393-5p	-0.3308	-0.1363	-0.3552	0.0052	-0.5049	-0.1837
ENSMUSG00000029033:::mmu-miR-394-5p	0.1257	0.0010	0.0391	-0.4823	0.7609	0.1134
ENSMUSG00000029054:::mmu-miR-395-5p	-0.2375	0.2765	-0.2926	0.2779	-0.2791	-0.6842
ENSMUSG00000029173:::mmu-miR-396-5p	1.2295	0.9297	1.3039	1.7294	1.5002	1.7281
ENSMUSG00000029174:::mmu-miR-397-5p	0.0742	-0.7023	-0.1774	-0.1906	0.1873	0.2577
ENSMUSG00000029178:::mmu-miR-398-5p	1.2141	0.8171	0.6297	1.4877	1.2554	0.8716
ENSMUSG00000029188:::mmu-miR-399-5p	-0.3091	-0.9507	-1.2650	-0.9547	-0.9607	-1.3021
ENSMUSG00000029205:::mmu-miR-400-5p	0.0776	0.4694	-0.8149	-0.2266	0.5234	0.3667
ENSMUSG00000029255:::mmu-miR-401-5p	-0.3298	0.3729	-0.0262	-0.0191	-0.4646	0.0845
ENSMUSG00000029311:::mmu-miR-402-5p	-0.0563	-0.3200	0.4257	-0.2594	0.2689	-0.3968
ENSMUSG00000029313:::mmu-miR-403-5p	0.1376	-0.1103	-0.5949	0.0442	-0.5581	0.0898
ENSMUSG00000029426:::mmu-miR-404-5p	0.3946	0.1591	0.0467	0.8660	0.3235	0.8319
ENSMUSG00000029491:::mmu-miR-405-5p	0.4227	0.2986	-0.2745	0.2647	0.0512	0.0505
ENSMUSG00000029505:::mmu-miR-406-5p	0.0102	0.2784	-0.2903	0.3872	0.1701	-0.1377
ENSMUSG00000029586:::mmu-miR-407-5p	-0.2440	-0.2126	-0.2836	0.0902	-0.4770	-0.3599
ENSMUSG00000029613:::mmu-miR-408-5p	-0.2892	0.4443	0.4707	0.0045	-0.1716	-0.0824
ENSMUSG00000029630:::mmu-miR-409-5p	-0.0827	-0.4391	0.0215	0.3645	0.2081	-1.0004
ENSMUSG00000029647:::mmu-miR-410-5p	-0.4147	-0.2276	0.4383	-0.4361	0.5693	-0.0337
ENSMUSG00000029648:::mmu-miR-411-5p	-0.1063	-0.7980	-0.2264	0.2455	0.2688	-0.4174
ENSMUSG00000029679:::mmu-miR-412-5p	-0.0841	0.2366	0.3928	0.1216	-0.3360	0.8201
ENSMUSG00000029682:::mmu-miR-413-5p	0.3038	-0.2324	0.4093	0.6743	-0.2742	-0.6223
ENSMUSG00000029710:::mmu-miR-414-5p	0.4238	0.0105	-0.1232	0.1366	-0.0832	0.0132
ENSMUSG00000029713:::mmu-miR-415-5p	-0.5642	-0.4521	0.2151	-0.3196	-0.1985	0.6495
ENSMUSG00000029715:::mmu-miR-416-5p	-0.2774	-0.4506	-0.9822	0.2474	-0.1155	-0.0372
ENSMUSG00000029763:::mmu-miR-417-5p	-0.3938	-0.0480	0.3303	0.4952	-0.0274	-0.2760
ENSMUSG00000029819:::mmu-miR-418-5p	-0.2476	0.4582	-0.0264	0.0561	0.3131	-0.3021
ENSMUSG00000029860:::mmu-miR-419-5p	0.0784	0.4455	-0.1009	0.0155	0.0557	-0.0960
ENSMUSG00000029868:::mmu-miR-420-5p	-0.1596	-0.1008	0.1033	0.3427	0.6159	0.3767
ENSMUSG00000029882:::mmu-miR-421-5p	0.2075	-0.0474	-0.3913	0.1011	0.0745	0.2190
ENSMUSG00000029918:::mmu-miR-422-5p	1.0892	0.5639	0.7437	1.0731	1.7859	0.9968
ENSMUSG00000030004:::mmu-miR-423-5p	0.1457	-0.4016	0.1558	0.1886	0.2060	-0.1957
ENSMUSG00000030042:::mmu-miR-424-5p	-0.1692	0.2709	0.3255	-0.0617	0.5667	-0.0299
ENSMUSG00000030054:::mmu-miR-425-5p	0.4098	-0.9327	-0.1577	-0.1466	0.4581	0.4061
ENSMUSG00000030082:::mmu-miR-426-5p	-0.5357	-0.2529	0.1178	0.2502	-0.3102	0.6291
ENSMUSG00000030108:::mmu-miR-427-5p	0.0534	0.0250	0.7739	-0.2196	0.0249	0.2566
ENSMUSG00000030162:::mmu-miR-428-5p	-0.5837	-0.0621	-0.4977	-1.0729	-0.3234	-0.5637
ENSMUSG00000030187:::mmu-miR-429-5p	-0.0698	-0.4826	0.4020	-0.3802	-0.7195	0.0779
ENSMUSG00000030235:::mmu-miR-430-5p	0.0826	-0.3223	-0.1070	0.2291	0.2642	-0.4216
ENSMUSG00000030236:::mmu-miR-431-5p	0.0120	-0.2441	-0.3482	-0.4097	-0.0948	0.7984
ENSMUSG00000030237:::mmu-miR-432-5p	0.5268	-0.2642	-0.4012	-0.1129	0.0789	-0.2288
ENSMUSG00000030244:::mmu-miR-433-5p	0.4485	0.2022	-0.3355	0.4022	0.0578	0.3063
ENSMUSG00000030361:::mmu-miR-434-5p	0.8237	1.3793	0.5868	1.4553	0.7224	1.3737
ENSMUSG00000030447:::mmu-miR-435-5p	0.1048	0.2884	0.1156	-0.1993	0.1266	-0.1696
ENSMUSG00000030468:::mmu-miR-436-5p	-0.4727	-0.2621	0.2716	0.1258	-0.1869	0.5536
ENSMUSG00000030557:::mmu-miR-437-5p	0.1888	0.1605	0.2738	0.0205	0.6636	0.0608
ENSMUSG00000030584:::mmu-miR-438-5p	0.1003	0.1623	0.2988	-0.2527	-0.4179	-0.6947
ENSMUSG00000030621:::mmu-miR-439-5p	0.0446	-0.1780	0.7625	-0.1492	-0.0971	0.0161
ENSMUSG00000030649:::mmu-miR-440-5p	0.1368	0.1329	-0.3947	-0.1464	0.1657	-0.4499
ENSMUSG00000030657:::mmu-miR-441-5p	0.0248	0.0110	-0.3141	0.6883	-0.1716	0.0383
ENSMUSG00000030670:::mmu-miR-442-5p	0.2211	-0.2876	-0.0492	0.4527	0.0380	-0.3965
ENSMUSG00000030674:::mmu-miR-443-5p	0.1900	0.3306	-0.3297	-0.0046	-0.0674	0.1499
ENSMUSG00000030682:::mmu-miR-444-5p	-0.0556	-0.2378	0.1050	0.1667	0.0641	0.1646
ENSMUSG00000030761:::mmu-miR-445-5p	-0.1823	-0.2416	0.0460	-0.2199	-0.0266	-0.2422
ENSMUSG00000030790:::mmu-miR-446-5p	-0.1212	-0.3345	0.0409	0.0401	-0.2497	0.1000
ENSMUSG00000030814:::mmu-miR-447-5p	0.3450	0.6241	0.2905	0.1761	0.2898	-0.1576
ENSMUSG00000030826:::mmu-miR-448-5p	-0.1708	-0.1268	0.1542	0.2640	-0.3251	0.0211
ENSMUSG00000030871:::mmu-miR-449-5p	0.8708	1.6473	1.3241	1.1631	1.4975	2.0078
ENSMUSG00000030880:::mmu-miR-450-5p	0.1377	0.2466	0.6466	-0.1209	-0.2833	-0.1176
ENSMUSG00000031097:::mmu-miR-451-5p	0.6177	0.7328	0.6412	1.0286	1.6726	1.3830
ENSMUSG00000031176:::mmu-miR-452-5p	0.0356	0.2161	0.1082	-0.2927	-0.6122	0.2998
ENSMUSG00000031217:::mmu-miR-453-5p	-0.5046	0.1710	-0.3414	-0.0600	-0.1774	-0.5179
ENSMUSG00000031271:::mmu-miR-454-5p	0.0645	0.3933	-0.0358	0.0842	-0.5032	-0.0666
ENSMUSG00000031295:::mmu-miR-455-5p	0.2825	0.3116	0.1103	-0.3494	-0.0993	0.4282
ENSMUSG00000031328:::mmu-miR-456-5p	-0.0502	-0.0847	0.3940	0.2038	-0.3562	-0.3134
ENSMUSG00000031378:::mmu-miR-457-5p	-0.1380	0.0134	-0.4742	-0.1285	0.0909	0.4092
ENSMUSG00000031381:::mmu-miR-458-5p	0.5214	0.2416	-0.3316	-0.2863	0.0508	-0.0676
ENSMUSG00000031451:::mmu-miR-459-5p	0.3205	-0.0063	0.5326	0.0794	0.1576	0.2985
ENSMUSG00000031608:::mmu-miR-460-5p	0.6375	0.0167	-0.0833	-0.0741	-0.1285	0.0260
ENSMUSG00000031636:::mmu-miR-461-5p	-0.4164	-0.5638	-0.2395	0.0556	0.3583	0.5332
ENSMUSG00000031645:::mmu-miR-462-5p	-0.1378	0.8481	0.1071	-0.3490	0.2787	0.4184
ENSMUSG00000031700:::mmu-miR-463-5p	0.4270	0.3122	0.1903	0.2865	-0.2516	0.1386
ENSMUSG00000031751:::mmu-miR-464-5p	-0.2878	0.4305	0.1336	0.1202	0.3039	0.2292
ENSMUSG00000031766:::mmu-miR-465-5p	-0.5136	0.4110	-0.0963	-0.2061	0.1886	-0.1548
ENSMUSG00000031808:::mmu-miR-466-5p	0.2316	-0.0355	-0.4563	-0.0589	-0.4029	0.1407
ENSMUSG00000031948:::mmu-miR-467-5p	1.0167	0.8634	1.1766	1.0753	1.5058	1.2666
ENSMUSG00000031974:::mmu-miR-468-5p	-0.9884	-0.8730	-1.2109	-1.4693	-1.8917	-1.9035
ENSMUSG00000031987:::mmu-miR-469-5p	-0.0134	0.2624	-0.2737	-0.3644	-0.4691	-0.0674
ENSMUSG00000031988:::mmu-miR-470-5p	0.1761	0.0914	0.2597	-0.4774	-0.1103	0.3938
ENSMUSG00000032080:::mmu-miR-471-5p	-0.0445	-0.7452	-0.4813	0.2960	0.0287	0.0597
ENSMUSG00000032081:::mmu-miR-472-5p	0.1912	0.3226	-0.0906	0.4549	-0.1248	-0.2453
ENSMUSG00000032218:::mmu-miR-473-5p	-0.6320	0.6338	-0.1188	0.0094	0.4181	0.3164
ENSMUSG00000032271:::mmu-miR-474-5p	0.1315	-0.3854	-0.5422	-0.5339	-0.0643	0.0387
ENSMUSG00000032294:::mmu-miR-475-5p	0.8049	0.7728	1.6273	1.0281	1.0401	1.2601
ENSMUSG00000032359:::mmu-miR-476-5p	-0.4758	0.5727	0.0188	-0.0777	0.5424	-0.2670
ENSMUSG00000032409:::mmu-miR-477-5p	0.1967	0.4593	0.1468	0.9798	0.2120	-0.0270
ENSMUSG00000032440:::mmu-miR-478-5p	-0.5853	0.0805	0.1969	-0.4104	0.0565	0.1237
ENSMUSG00000032470:::mmu-miR-479-5p	-0.0874	0.2274	0.2074	-0.3274	-0.1173	-0.3079
ENSMUSG00000032481:::mmu-miR-480-5p	-0.1875	-0.0621	-0.3077	0.0722	0.0244	0.4893
ENSMUSG00000032489:::mmu-miR-481-5p	-0.3694	-0.0132	-0.0767	-0.2462	0.2352	-0.3768
ENSMUSG00000032518:::mmu-miR-482-5p	-0.1549	0.0767	0.7816	0.3083	-0.4786	0.2590
ENSMUSG00000032531:::mmu-miR-483-5p	-0.3306	0.0682	-0.3727	0.2990	-0.4482	0.1025
ENSMUSG00000032554:::mmu-miR-484-5p	0.2529	0.0181	-0.0238	-0.4334	-0.3122	-0.0899
ENSMUSG00000032577:::mmu-miR-485-5p	0.1943	-0.1933	-0.1370	0.8695	-0.1561	-0.3530
ENSMUSG00000032578:::mmu-miR-486-5p	0.2798	-0.0588	0.0607	0.0680	-0.4261	0.4859
ENSMUSG00000032601:::mmu-miR-487-5p	-0.0618	-0.1307	0.1168	-0.4568	-0.1610	0.1573
ENSMUSG00000032648:::mmu-miR-488-5p	-0.4057	-0.0157	0.1225	-0.6201	0.2736	0.1788
ENSMUSG00000032737:::mmu-miR-489-5p	-0.2655	-0.4073	-0.2159	0.4176	0.1827	0.5735
ENSMUSG00000032839:::mmu-miR-490-5p	-0.3072	0.1849	-0.1506	-0.2869	-0.0049	0.2166
ENSMUSG00000032852:::mmu-miR-491-5p	0.4406	0.6421	0.1891	-0.3649	-0.4865	0.5174
ENSMUSG00000032939:::mmu-miR-492-5p	0.0044	0.4859	0.4923	-0.2382	0.1934	0.2463
ENSMUSG00000032987:::mmu-miR-493-5p	0.1709	0.0393	-0.8568	-0.3240	-0.3637	0.6371
ENSMUSG00000033059:::mmu-miR-494-5p	0.1603	-0.0333	0.4717	0.4505	-0.2453	-0.1314
ENSMUSG00000033105:::mmu-miR-495-5p	0.2255	-0.0023	0.4041	0.1804	-0.4781	-0.5588
ENSMUSG00000033161:::mmu-miR-496-5p	0.4674	0.2888	0.2520	0.1471	0.1127	-0.4587
ENSMUSG00000033373:::mmu-miR-497-5p	-0.3698	0.2697	-0.4571	0.2321	-0.0445	0.0524
ENSMUSG00000033400:::mmu-miR-498-5p	0.1432	0.0620	-0.8302	0.2740	-0.2829	0.0643
ENSMUSG00000033590:::mmu-miR-499-5p	-0.1026	-0.2451	-0.4547	0.2081	0.5724	-0.2736
ENSMUSG00000033653:::mmu-miR-100-5p	0.2958	0.0759	0.2879	-0.0463	-0.3760	-0.1736
ENSMUSG00000033688:::mmu-miR-101-5p	0.7888	-0.1677	0.1931	-0.3449	-0.4414	-0.2606
ENSMUSG00000033850:::mmu-miR-102-5p	-0.2518	0.3309	-0.2768	0.6105	-0.3811	-0.3036
ENSMUSG00000033916:::mmu-miR-103-5p	-0.0188	0.0983	0.1561	-0.2336	-0.0072	-0.0945
ENSMUSG00000034329:::mmu-miR-104-5p	-0.1136	-0.1047	-0.2426	0.0218	-0.4929	-0.1307
ENSMUSG00000034379:::mmu-miR-105-5p	0.3392	-0.2315	-0.4669	0.2435	-0.0107	0.5528
ENSMUSG00000034573:::mmu-miR-106-5p	0.3478	0.8331	0.0528	-0.4327	0.6148	0.2675
ENSMUSG00000034617:::mmu-miR-107-5p	-0.6030	-0.6409	-1.1914	-1.6719	-1.3790	-1.9338
ENSMUSG00000034620:::mmu-miR-108-5p	0.1365	-0.3355	-0.1176	-0.6149	0.4178	-0.1735
ENSMUSG00000034656:::mmu-miR-109-5p	0.2862	0.7464	-0.4861	0.4580	0.3198	-0.6799
ENSMUSG00000034684:::mmu-miR-110-5p	-0.0329	0.2455	-0.0793	0.0940	0.8083	-0.1495
ENSMUSG00000034855:::mmu-miR-111-5p	0.0593	-0.0951	0.5810	0.0470	-0.8120	0.2580
ENSMUSG00000035126:::mmu-miR-112-5p	-0.4720	-0.8044	-0.5986	0.1529	0.0533	0.0675
ENSMUSG00000035299:::mmu-miR-113-5p	0.3152	-0.3478	0.1003	-0.1844	0.3959	0.1075
ENSMUSG00000035383:::mmu-miR-114-5p	0.1335	-0.3576	0.2026	0.3510	0.0210	-0.6047
ENSMUSG00000035473:::mmu-miR-115-5p	-0.1796	0.1404	-0.5141	-0.1397	0.4529	0.5061
ENSMUSG00000035509:::mmu-miR-116-5p	0.4217	-0.0458	0.0851	-0.5216	-0.2286	-0.3187
ENSMUSG00000035629:::mmu-miR-117-5p	-0.0056	-0.0184	0.5822	0.4678	0.1210	0.1192
ENSMUSG00000035674:::mmu-miR-118-5p	0.3932	-0.0794	0.5749	0.3958	-0.4514	0.2346
ENSMUSG00000035704:::mmu-miR-119-5p	-0.1499	-0.0181	-0.5146	0.4309	-0.3771	-0.1269
ENSMUSG00000035745:::mmu-miR-120-5p	0.5072	0.3391	0.2185	-0.4007	-0.8172	-0.5594
ENSMUSG00000035773:::mmu-miR-121-5p	0.3392	-0.0595	-0.6408	0.1009	-0.4858	0.5042
ENSMUSG00000035847:::mmu-miR-122-5p	0.2540	0.5096	-0.4214	-0.0570	-0.7161	-0.1901
ENSMUSG00000035929:::mmu-miR-123-5p	-0.5657	-0.3710	0.2589	-0.4116	0.2093	0.0615
ENSMUSG00000035930:::mmu-miR-124-5p	-0.0632	-0.0427	-0.1682	0.1555	-0.1216	0.1575
ENSMUSG00000035948:::mmu-miR-125-5p	-0.0719	0.0010	0.0574	0.4030	0.3475	0.3645
ENSMUSG00000035953:::mmu-miR-126-5p	0.0618	-0.0760	0.7434	-0.1586	-0.5529	1.0263
ENSMUSG00000036091:::mmu-miR-127-5p	-0.1144	-0.6698	0.3968	0.1311	-0.2113	-0.1135
ENSMUSG00000036446:::mmu-miR-128-5p	-0.2431	-0.2920	-0.2445	0.7907	0.0362	-0.2364
ENSMUSG00000036594:::mmu-miR-129-5p	0.1594	0.5506	0.1494	0.4590	0.2482	-0.1986
ENSMUSG00000036768:::mmu-miR-130-5p	0.1264	0.4434	0.2690	-0.5177	-0.4316	0.4151
ENSMUSG00000036782:::mmu-miR-131-5p	-0.5597	-0.7158	-0.1272	0.0487	0.6045	-0.0499
ENSMUSG00000036813:::mmu-miR-132-5p	0.1788	-0.4296	0.0618	0.4942	0.8527	0.1166
ENSMUSG00000036834:::mmu-miR-133-5p	-0.1362	0.2645	-0.0161	0.3037	0.3284	-0.3451
ENSMUSG00000036840:::mmu-miR-134-5p	-0.6087	0.9098	-0.3390	-0.0159	-0.5562	-0.2593
ENSMUSG00000036845:::mmu-miR-135-5p	-0.1261	-0.1537	-0.3321	-0.1480	-0.0137	0.4942
ENSMUSG00000036904:::mmu-miR-136-5p	-0.0990	0.2441	-0.5519	-0.2174	0.9078	-0.0887
ENSMUSG00000037005:::mmu-miR-137-5p	-0.2332	0.3770	0.3069	0.0692	-0.3032	0.2158
ENSMUSG00000037071:::mmu-miR-138-5p	-0.3384	0.2261	0.0163	0.4605	0.3511	-0.2894
ENSMUSG00000037111:::mmu-miR-139-5p	-0.2341	0.1939	-0.1971	-0.3567	-0.3260	-0.1817
ENSMUSG00000037185:::mmu-miR-140-5p	-1.3830	-0.2233	-1.0021	-1.7191	-1.3953	-1.8844
ENSMUSG00000037197:::mmu-miR-141-5p	-0.1456	0.0772	0.2304	-0.5077	-0.7306	-0.8646
ENSMUSG00000037260:::mmu-miR-142-5p	0.3390	0.2842	-0.2265	-0.1982	-0.2652	0.5053
ENSMUSG00000037278:::mmu-miR-143-5p	0.3992	-0.0050	0.0896	0.4535	0.6017	0.1312
ENSMUSG00000037306:::mmu-miR-144-5p	-0.3469	0.5616	-0.2134	-0.1041	0.0205	0.5369
ENSMUSG00000037341:::mmu-miR-145-5p	-0.0437	0.5368	-0.5290	0.0703	0.3224	0.1705
ENSMUSG00000037361:::mmu-miR-146-5p	0.1700	-0.3193	0.1316	-0.4666	-0.8714	-0.0602
ENSMUSG00000037428:::mmu-miR-147-5p	-0.0700	0.0168	-0.0271	-0.3704	-0.5576	0.1662
ENSMUSG00000037523:::mmu-miR-148-5p	-0.1167	0.2593	-0.0691	0.5535	0.0835	0.4644
ENSMUSG00000037720:::mmu-miR-149-5p	0.4298	0.6355	-0.1305	0.1695	-0.3022	0.4385
ENSMUSG00000037772:::mmu-miR-150-5p	-0.2672	-0.1731	-0.1832	-0.1157	0.0890	0.1243
ENSMUSG00000037876:::mmu-miR-151-5p	0.4743	0.3240	-0.5537	-0.1056	-0.1856	0.3858
ENSMUSG00000037887:::mmu-miR-152-5p	-0.6759	-0.0617	0.2921	0.0116	-0.0548	0.4865
ENSMUSG00000037933:::mmu-miR-153-5p	-0.0124	0.1349	-0.5697	-0.2191	-0.1531	-0.0137
ENSMUSG00000037974:::mmu-miR-154-5p	0.1183	0.0970	0.0294	-0.1423	0.0240	0.1184
ENSMUSG00000037993:::mmu-miR-155-5p	-0.1236	0.0234	-0.1546	0.2809	0.0163	-0.4458
ENSMUSG00000038023:::mmu-miR-156-5p	-0.1120	0.7153	-0.4479	-0.4047	0.2944	0.0599
ENSMUSG00000038115:::mmu-miR-157-5p	-0.0935	0.5004	-0.1266	-0.2900	0.2746	0.0224
ENSMUSG00000038179:::mmu-miR-158-5p	0.0957	-0.1154	-0.0434	0.5152	-0.0758	0.2910
ENSMUSG00000038213:::mmu-miR-159-5p	0.3074	-0.2650	-0.7952	-0.0618	-0.2633	0.1353
ENSMUSG00000038342:::mmu-miR-160-5p	0.0446	0.2748	-0.2910	0.2652	-0.4105	-0.1082
ENSMUSG00000038384:::mmu-miR-161-5p	-0.4748	-0.1213	0.3253	0.4428	0.3131	-0.0848
ENSMUSG00000038467:::mmu-miR-162-5p	0.1617	0.1520	0.3519	-0.0433	0.0612	-0.0979
ENSMUSG00000038545:::mmu-miR-163-5p	0.2536	-0.1503	-0.4788	0.2083	-0.1144	0.5210
ENSMUSG00000038569:::mmu-miR-164-5p	-0.0204	0.3023	0.2615	0.2528	-0.5116	-0.1419
ENSMUSG00000038793:::mmu-miR-165-5p	0.8860	0.4014	0.3268	-0.5107	-0.0674	0.1687
ENSMUSG00000038840:::mmu-miR-166-5p	-0.1325	-0.5864	-1.1103	-0.8679	-1.2884	-1.5429
ENSMUSG00000038861:::mmu-miR-167-5p	-0.5317	-1.0629	-0.8586	-1.0682	-0.7237	-1.1213
ENSMUSG00000038888:::mmu-miR-168-5p	-0.2158	0.4680	0.3895	0.2104	0.6099	0.1840
ENSMUSG00000039156:::mmu-miR-169-5p	0.0038	0.2079	0.4684	-0.2661	0.3437	-0.0061
ENSMUSG00000039231:::mmu-miR-170-5p	0.1775	0.2500	-0.1063	-0.1741	0.2886	0.3247
ENSMUSG00000039239:::mmu-miR-171-5p	0.2489	-0.1314	-0.0307	-0.4186	-0.1438	0.5898
ENSMUSG00000039356:::mmu-miR-172-5p	0.0135	0.1750	0.0792	-0.0139	0.2463	0.2377
ENSMUSG00000039427:::mmu-miR-173-5p	-0.7292	-0.3998	0.1651	-0.0517	0.3015	0.9704
ENSMUSG00000039771:::mmu-miR-174-5p	0.1012	0.6961	0.0766	0.0166	-0.3457	-0.5151
ENSMUSG00000039904:::mmu-miR-175-5p	0.3280	0.2116	0.5136	-0.3245	0.2820	-0.2767
ENSMUSG00000039952:::mmu-miR-176-5p	0.2478	-0.4404	0.3370	-0.1847	-0.5329	0.0289
ENSMUSG00000039962:::mmu-miR-177-5p	-0.7366	-0.9790	-0.0150	-0.1859	0.2677	-0.0685
ENSMUSG00000039989:::mmu-miR-178-5p	0.3422	0.0331	0.5095	0.3358	-0.3679	0.3974
