#compound	T00h	T02h	T06h	T12h	T18h	T24h
D-Rhamnose	1.4778	1.6894	1.1044	2.4006	1.7984	2.4118
Psychosine	0.8967	1.6020	1.8474	2.0989	2.6172	2.3716
Xanthosine	1.5915	1.7570	1.0830	2.0789	2.1304	2.5146
Choloyl-CoA	1.8726	1.3328	1.5014	1.8958	1.6074	2.3255
Lipoprotein	-1.6198	-1.2466	-1.8250	-2.2299	-1.7845	-2.4992
Maltotriose	-1.3835	-1.1835	-2.2811	-1.8765	-1.7010	-2.9072
Glycocholate	1.1246	1.3398	2.4889	2.7780	3.1023	2.8126
L-Lysyl-tRNA	1.3271	1.8797	1.1440	1.3462	1.9560	2.4461
Maltodextrin	0.9859	1.5612	1.6982	2.6771	1.8835	2.5320
L-Leucyl-tRNA	0.7088	1.5378	1.7057	2.3178	1.5402	2.4405
Isomaltotriose	1.2055	1.3895	1.1289	2.0220	2.4228	2.6548
L-Arginyl-tRNA	1.4696	1.3040	1.2217	1.7489	2.4372	2.9132
UDP-L-rhamnose	-1.3088	-1.7682	-1.5864	-2.3138	-1.8313	-2.6230
Digalacturonate	1.2798	1.1268	2.3160	2.3680	1.7944	2.2513
Glutaminyl-tRNA	-1.0888	-1.8805	-1.7382	-1.5953	-2.4538	-2.0121
Chenodeoxycholate	1.3024	1.6267	1.6966	1.5061	3.0089	2.8573
Galactosylceramide	1.6544	1.1622	1.9317	1.8461	2.5071	2.7688
Cyanocobalamin	-0.7153	-1.8840	-1.8271	-1.8898	-2.4861	-2.6596
Ceramide 1-phosphate	1.0217	1.2050	2.2199	1.8543	1.8095	2.3208
D-Glucosylsphingosine	1.2569	1.2545	1.6457	1.8789	2.2064	2.7679
GDP-6-deoxy-D-mannose	1.5289	1.3187	1.4767	1.8589	2.2338	2.1530
dTDP-6-deoxy-beta-L-talose	1.6481	1.4263	1.7762	1.4757	2.1839	2.5416
Globoside	-1.4915	-1.6488	-1.8652	-2.4430	-2.0087	-2.3881
N-Formylmethionyl-tRNA	1.4368	1.5422	1.4708	1.7573	1.9567	1.8933
Ciliatine	0.8025	1.5844	2.3434	2.2912	2.5678	3.2745
CDP-paratose	1.2074	1.8682	1.7019	1.9833	2.3401	2.5204
Galactose oligosaccharide	-1.1828	-1.0466	-1.1758	-1.3353	-2.2607	-2.2105
Methyl beta-D-galactoside	0.5009	1.8144	1.7972	2.1392	2.0853	2.1625
UDP-4-dehydro-6-deoxy-D-glucose	2.2248	1.2713	1.7967	2.1126	2.5516	2.5196
CMP-3-deoxy-D-manno-octulosonate	1.6578	1.9381	1.3578	2.6910	2.7639	2.6744
N-Acetyl-D-mannosamine 6-phosphate	1.7763	1.2870	2.1770	1.7743	2.5027	2.6479
dTDP-viosamine	0.9444	1.1224	1.8503	2.1142	1.9423	3.0944
N-Acetyl-alpha-D-glucosamine 1-phosphate	1.4891	1.2338	1.6103	2.5239	2.2321	2.4401
UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate	1.4583	1.7240	1.4454	2.0671	2.1535	2.4449
UDP-N-acetylbacillosamine	1.3117	1.8674	1.5776	2.5699	3.0032	2.5785
Taurocholate	1.7012	1.8837	2.2374	2.2502	2.4728	2.4202
Ciprofloxacin	1.4148	1.3519	1.7911	2.1521	2.4607	2.1020
Sedoheptulose 7-phosphate	1.9140	1.7621	2.0210	2.1671	1.8274	3.0502
Melibiose	-0.9474	-1.7712	-1.2929	-2.6291	-2.7026	-2.4889
Taurochenodeoxycholate	-1.5454	-1.7811	-1.4014	-2.4161	-2.1283	-2.7849
Deoxyinosine	1.1743	1.4734	1.7822	1.6731	2.6717	2.8803
Ceramide 2-aminoethylphosphonate	1.6470	1.0661	1.5451	2.2293	2.7696	2.2860
dTDP-N-acetylviosamine	1.2182	1.2708	1.7754	1.1584	2.6260	2.7482
Ceramide phosphoethanolamine	1.1054	1.4283	1.4768	1.6619	2.2898	2.8673
Digalactosylceramide	1.0786	1.2959	1.8746	1.8034	2.7512	2.2520
Digalactosylceramide sulfate	1.3652	1.7494	2.4750	2.1439	2.7891	2.1043
N-Acetylneuraminyl-galactosylceramide	-1.0811	-1.4158	-1.9205	-2.0832	-1.8409	-2.8220
Fe-enterobactin	-1.5589	-1.5475	-1.8280	-2.1381	-2.6387	-2.2888
Molybdate	1.4305	1.2816	1.7465	1.7364	2.2126	2.2016
ADP-D-glycero-beta-D-manno-heptose	1.1757	2.1928	1.1786	2.4414	2.3378	3.1017
Methylcobalamin	1.8001	1.4208	2.1151	2.0571	2.2821	2.1457
Norfloxacin	1.0520	1.8100	1.5845	1.7744	3.5118	2.9915
Capsular polysaccharide	1.4135	1.3298	1.9478	1.4998	2.2681	2.5631
Lipo-oligosaccharide	1.4953	1.2497	1.6434	2.1853	2.7193	1.9050
Teichoic acid	-1.4956	-1.4992	-1.6729	-2.2471	-2.3946	-2.3773
Hemine	1.1140	0.9972	1.5715	1.8036	2.2700	1.9368
Sparfloxacin	1.5408	1.2572	1.3681	1.3611	1.8269	2.9259
Moxifloxacin	-1.2498	-1.2978	-2.1866	-2.2986	-2.1184	-2.7697
D-glycero-beta-D-manno-Heptose 1-phosphate	1.0976	1.5796	1.3807	2.1983	2.3932	2.6413
Polymyxin B	1.0440	0.9028	1.9270	2.4258	2.8243	2.6589
dTDP-4-oxo-6-deoxy-D-glucose	1.2520	1.4723	2.4278	2.1960	1.8618	2.7428
dTDP-3-oxo-6-deoxy-D-glucose	0.8759	1.7924	1.9866	1.9941	2.3081	2.2339
Dihydroceramide	-1.0254	-1.3576	-1.7937	-2.0919	-2.0727	-2.5311
Phytosphingosine	1.2470	0.6511	1.2143	1.5356	2.1353	2.3185
Phytoceramide	-1.0970	-1.4446	-1.2822	-2.2721	-2.1018	-2.6077
Cerebrosterol	1.0729	1.9652	2.0866	2.6345	2.2974	3.0274
Colistin sulfate	1.8230	0.9823	2.0645	1.6710	2.0577	2.4413
Ferric ion	1.3161	1.5391	2.0361	2.3837	2.3727	2.7161
