#compound	T00h	T02h	T06h	T12h	T18h	T24h
C02800	0.3585	0.6587	-0.2522	0.3738	-0.1768	-0.1172
C02811	-0.0023	0.3840	-0.0380	0.1098	-0.2306	0.2545
C02814	-0.0913	-0.2048	-0.1452	0.2789	0.2620	-0.0105
C02823	1.3466	1.8099	1.7447	2.0849	2.0897	2.1545
C02835	0.4320	-0.1899	0.5267	-0.1663	-0.2361	0.6290
C02839	1.3586	1.3275	1.7463	2.1530	2.3411	2.2119
C02843	-0.4511	-0.7456	-1.4542	-1.1855	-0.7437	-1.3519
C02855	-0.2866	-0.2543	-0.5498	0.6213	-0.2380	-0.3263
C02876	-0.0126	0.1845	-0.0457	0.3945	0.0514	-0.4732
C02880	0.1742	0.6558	0.2396	-0.2374	-0.2886	0.2894
C02888	-0.0388	0.0510	0.2384	-0.1598	0.0754	-0.4760
C02892	0.1387	-0.3210	-0.2433	-0.1047	-0.0120	-0.1510
C02915	-0.1847	-0.2817	0.1764	0.1490	-0.4783	0.3097
C02918	-0.6930	0.2721	0.1611	0.3273	-0.0269	0.6189
C02920	0.2824	-0.5836	0.7003	0.6748	0.0283	-0.3608
C02923	-0.1088	-0.3189	-0.4679	0.0499	-0.2741	0.3068
C02930	-0.2024	-0.0325	-0.6962	0.6875	0.2940	0.1487
C02934	-1.3912	-1.4194	-2.0912	-2.1352	-2.0244	-2.7416
C02937	-0.2589	0.0976	0.2850	-0.4800	0.0009	0.1829
C02938	0.3135	0.4440	0.1282	-0.0290	-0.3929	0.1794
C02939	0.5756	-0.2384	-0.6721	0.8011	0.3575	0.3459
C02946	-0.0912	-0.0008	0.3669	-0.2773	0.8261	-0.4862
C02947	0.0603	0.8239	-0.1284	-0.7099	0.1558	0.1188
C02949	0.1051	-0.5578	0.4899	0.2048	-0.4806	0.2331
C02953	0.0998	-0.1188	-0.4915	0.0779	0.2499	-0.4232
C02960	1.7312	1.5028	1.1562	2.3575	2.5356	2.6470
C02962	0.2687	-0.4176	0.0157	-0.3221	-0.1292	0.1622
C02970	-0.2538	0.2454	0.5146	0.5244	-0.6387	-0.0870
C02972	0.0786	-0.5942	0.1339	-0.0128	0.3976	-0.1840
C02977	1.1584	1.6454	1.8859	1.9599	1.9008	1.9003
C02984	1.1453	1.9462	1.5131	1.5769	2.1253	2.6503
C02985	-0.0227	0.2762	0.1249	-0.0101	-0.6138	-0.1226
C02987	-0.2818	-0.2084	-0.3655	0.2216	-0.1705	0.0879
C02988	1.6523	2.1207	2.2608	1.3958	2.2096	2.5542
C02989	0.1722	-0.3010	0.1865	-0.2519	-0.3918	0.3811
C02990	0.4357	-0.2135	-0.0294	0.4007	0.1184	0.0031
C02991	-0.2653	-0.0334	-0.6821	-0.1756	0.4920	0.4410
C02992	-0.5390	0.4475	0.4821	0.7902	-0.3651	0.2196
C02995	-0.3645	-1.0956	-0.4496	-1.4747	-1.0636	-1.8217
C03004	-0.3713	0.4682	0.2783	-0.0447	0.0948	-0.4670
C03012	1.0504	0.5727	0.8585	1.4118	1.1497	1.3264
C03021	-0.2153	0.5229	-0.2244	-0.0677	-0.4640	-0.1654
C03028	0.4357	0.0312	0.2516	0.9171	0.2949	0.0741
C03029	-0.0846	0.0207	-0.1038	-0.0738	0.0224	-0.0697
C03033	0.4797	0.4549	0.2381	0.1493	0.1039	0.0680
C03035	-0.7244	0.1631	0.0450	0.4560	0.0883	0.1644
C03043	0.2060	-0.5652	0.6899	-0.5096	-0.1236	0.1779
C03044	0.8222	0.0279	1.0587	1.6501	1.0964	1.4889
C03046	0.0113	0.1917	0.2117	-0.1072	-0.2803	-0.7845
C03056	0.5577	0.8788	0.4632	1.2268	1.5303	0.3262
C03058	0.4681	0.5433	0.3900	0.0258	0.4505	0.0738
C03063	0.4955	-0.4454	0.7417	-0.1536	-0.2916	-0.2373
C03064	0.1198	0.5047	0.0574	0.0547	-0.0831	0.2147
C03069	0.1337	0.0249	0.1749	0.3290	-0.0240	-0.9026
C03077	-0.2894	-0.0354	-0.1215	-0.5777	-0.4434	0.3006
C03078	0.1009	-0.0424	-0.2006	-0.2811	-0.3473	-0.6749
C03082	-0.2672	-0.1208	0.2114	-0.1265	0.3527	-0.5186
C03087	0.5710	0.1093	0.0942	-0.4476	-0.3579	0.3311
C03089	-0.1845	-0.1502	0.2393	0.0098	0.0256	0.2183
C03090	0.1825	-0.1716	-0.0579	-0.0766	0.1112	0.0890
C03108	0.0512	-0.2143	-0.2125	0.1132	0.5496	-0.4218
C03112	0.1874	0.4170	0.2774	-0.0020	0.0006	-0.1826
C03114	0.3804	0.3547	-0.3680	0.4528	-0.3576	-0.2044
C03117	0.0672	0.2405	0.2876	0.1274	0.2621	0.3593
C03125	-0.0650	-0.0270	-0.2674	0.0622	-0.4253	-0.3982
C03127	1.1477	1.5008	1.7845	1.9931	2.2990	2.5084
C03145	0.2179	0.3456	-0.2592	-0.0183	-0.4367	0.0075
C03149	0.4203	0.3640	0.2919	-0.1882	0.2359	-0.2369
C03150	0.3624	0.4402	-0.1502	-0.2859	0.3953	0.8170
C03160	0.0859	0.2335	-0.5905	-0.0106	-0.3097	-0.2199
C03164	-0.0993	0.1440	0.5768	0.0480	-0.1586	0.0569
C03166	-0.5904	0.1518	0.0254	-0.5955	0.7133	0.3783
C03167	0.2249	-0.0087	-0.2078	-0.3837	-0.0478	0.1477
C03170	0.1525	0.0503	0.8393	0.0360	-0.5082	0.2104
C03172	-0.5303	-0.5820	-0.1343	-0.2582	-0.3891	-0.6493
C03175	-0.5633	0.3159	0.1179	-0.1846	-0.5093	0.5365
C03179	-0.1981	0.3894	-0.1620	-0.1377	0.2800	-0.2274
C03187	-0.1508	0.2344	-0.1343	-0.3017	-0.1120	-0.2961
C03190	-0.3287	-0.1221	-0.4271	-0.5578	0.2804	-0.8659
C03194	-0.0810	0.1144	0.2506	0.1015	-0.1803	-0.0657
C03196	0.0904	0.0194	0.0561	0.2442	0.0648	-0.0260
C03198	-0.9910	-0.4864	-0.2111	0.3430	-0.2299	-0.5077
C03201	-0.1946	-0.6154	-0.2384	-0.7711	0.1095	0.2458
C03203	0.3474	-0.0308	-0.7832	0.2144	0.4160	-0.5649
C03205	0.0539	-0.0721	0.5521	-0.0934	0.1077	0.0979
C03206	-0.2313	-0.1976	-0.6663	-0.9099	-0.3080	0.1331
C03217	0.0369	-0.4977	-0.4938	-1.0019	-1.0399	-1.3427
C03219	-0.1983	0.3745	0.7657	-0.0915	-0.1755	0.6108
C03221	0.3673	0.0203	-0.2582	-0.1095	-0.3205	-0.4179
C03223	0.1117	0.1497	-0.3338	0.2565	0.3281	-0.0243
C03227	0.0662	-0.3257	-0.5866	0.1335	0.6422	-0.0052
C03230	0.0336	-0.1363	0.0297	-0.0508	0.5510	-0.4788
C03231	-0.2769	0.5231	-0.3595	0.0536	0.3407	-0.4461
C03232	0.4621	0.2607	0.2569	-0.6833	0.2806	0.3135
C03233	0.1813	-0.0877	0.0162	-0.3455	0.0126	-0.0703
C03239	-0.0700	-0.0161	-0.0137	-0.0941	-0.4505	0.2481
C03240	0.2089	0.6860	-0.4831	0.0007	0.5200	-0.0224
C03242	0.0907	-0.2900	-0.1773	-0.1308	0.3721	0.0162
C03248	0.1328	-0.5925	0.7118	0.6987	0.3961	-0.6231
C03259	0.4918	-0.0922	-0.0804	0.0143	0.5581	-0.3414
C03262	-0.5231	-0.6464	-0.0785	0.4168	0.2796	-0.0974
C03263	-0.2010	-0.2411	-0.2314	-0.1507	0.0351	0.1468
C03267	0.1395	-0.2458	0.2521	0.5412	0.1779	0.0403
C03272	1.0689	1.2304	1.9264	1.5017	2.3210	2.3172
C03273	0.2012	-0.1578	0.2962	0.2172	0.1094	-0.2692
C03277	-0.3286	-0.1081	0.1400	-0.1980	-0.3576	-0.1288
C03283	-0.2585	0.2143	-0.4425	-0.0061	-0.0338	-0.0237
C03284	0.3399	-0.6676	-0.5726	-0.1469	-0.3638	0.1109
C03287	-0.6461	0.0195	-0.1864	-0.0096	0.2535	0.0088
C03289	0.3393	0.1356	0.2554	-0.0451	0.1276	0.2543
C03291	-0.2694	-0.2131	0.8898	-0.0335	-0.5596	-0.0833
C03294	-0.1938	-0.1540	-0.0127	0.1785	0.2569	0.0781
C03296	-0.0540	0.1981	0.3614	-0.7927	0.3202	0.2538
C03309	-0.3689	-0.2356	0.1146	-0.2365	0.0635	-0.6075
C03313	0.1483	-0.3079	0.0047	0.0904	-0.0216	-0.0070
C03319	-0.3447	-0.2147	0.2840	0.0345	-0.0371	-0.0041
C03323	-0.1381	-0.8887	0.1399	0.2804	0.2920	0.7113
C03325	-0.0465	0.0206	0.2739	0.1653	0.2648	0.2929
C03329	0.0818	-0.1316	0.3134	0.0276	-0.2813	-0.0376
C03341	0.0301	-0.2177	-0.1116	-0.5403	-0.2706	0.0883
C03344	0.3908	0.3192	0.4909	0.6279	-0.2802	0.0217
C03345	-0.3989	0.2679	-0.1492	-0.0255	-0.0718	-0.6719
C03366	1.1515	0.5157	0.2172	0.8208	0.7764	1.3335
C03372	0.2140	0.0558	-0.1430	0.3702	-0.0204	-0.0513
C03373	-0.5997	-0.4264	0.6975	-0.1358	-0.1292	0.1194
C03375	0.3025	-0.3384	0.0051	-0.1016	0.0126	-0.3335
C03378	-0.6588	0.4454	-0.1650	0.7901	-0.4316	0.6251
C03379	-0.2567	-0.1188	0.1710	-0.6301	-0.0370	-0.1469
C03383	-0.0515	-0.1525	-0.3021	0.7618	-0.4214	-0.4004
C03393	0.5613	0.2682	-0.7653	-0.3354	-0.3312	-0.3787
C03401	-0.1792	0.3996	-0.2193	0.1914	-0.6497	-0.3065
C03402	0.1280	0.6053	0.8250	-0.6162	0.2406	0.0579
C03405	0.4387	0.0572	-0.1846	0.3551	-0.3797	0.6240
C03406	-0.5333	-0.3058	-0.6845	-0.7738	-1.4508	-0.9039
C03409	0.1947	0.2261	-0.4176	0.2746	0.4002	0.7496
C03410	1.3982	1.1668	2.5604	1.5456	1.6333	1.5105
C03415	-0.0918	0.4242	0.4952	0.5613	0.4105	0.1846
C03427	0.0770	-0.3033	0.7425	-0.3349	0.6114	0.1134
C03428	-0.6943	-0.4096	0.2547	-0.1324	-0.1736	-0.6023
C03431	-0.2226	0.6202	-0.4344	-0.0334	-0.2780	-0.0785
C03434	0.0427	-0.1171	0.1714	0.2707	-0.1950	0.5449
C03440	-0.2175	-0.3075	0.7720	0.2052	0.3189	0.0944
C03442	0.5947	0.1463	-0.1155	-0.0367	-0.4987	0.0236
C03451	0.0216	0.5313	0.2847	-0.1746	0.1379	0.2409
C03453	0.1838	0.2031	0.8127	-0.3612	0.4394	-0.1025
C03454	-0.3421	-0.2701	0.4202	-0.3862	-0.0772	-0.2515
C03455	0.3017	-0.0255	0.1250	-0.0728	-0.4373	0.7270
C03458	-0.4780	-0.4028	-1.2730	-0.8797	-0.3869	-1.4166
C03459	-0.6528	-0.9272	-0.9585	-1.6529	-1.1047	-2.0616
C03460	-0.3079	0.7187	0.2523	-0.2068	0.0252	0.0107
C03461	0.0206	0.1716	-0.4772	-0.0763	-0.0195	-0.1122
C03470	0.1041	0.4537	0.0809	0.3697	-0.2749	0.1660
C03479	-0.3227	-0.4872	0.2878	0.3499	0.2389	-0.3932
C03483	0.6715	0.7489	-0.3941	-0.3986	0.0541	-0.3872
C03492	0.2505	-0.1596	-0.2367	0.1382	0.0982	-0.2004
C03506	0.2055	0.1260	0.3299	-0.0854	-0.1625	-0.0722
C03508	0.0627	-0.2194	-0.2724	-0.4295	-0.4883	0.1047
C03511	-1.6089	-1.1966	-2.0009	-1.7112	-2.3102	-1.9406
C03512	-1.2097	-1.4769	-1.5755	-1.6422	-2.1155	-2.5599
C03516	-0.1905	-0.1606	0.3032	-0.4194	-0.0845	0.1600
C03519	-0.0068	-0.4345	-0.2102	0.1314	0.1819	0.4458
C03539	0.2360	-0.0387	0.0026	-0.0197	-0.1585	-0.4167
C03541	-0.0304	-0.5552	0.4480	0.1360	0.1445	-0.1566
C03546	0.3917	0.0413	-0.6884	0.6461	-0.0422	-0.0195
C03547	-0.0390	-0.2428	-0.0886	0.2501	0.0713	0.4999
C03548	0.5745	0.3482	0.5213	0.2233	0.0736	0.1389
C03557	1.4134	1.8850	1.9211	2.0400	2.0497	2.3547
C03561	-0.2057	0.5456	0.0863	-0.4046	0.2435	-0.0694
C03564	0.1792	-0.0331	-0.1775	-0.0947	-0.2809	0.0634
C03569	0.8174	1.3075	1.2391	1.0689	0.4533	1.5237
C03574	0.0880	-0.0858	-0.0934	0.0982	-0.5740	0.4127
C03576	-0.1690	-0.1419	0.1193	-0.6690	-0.2403	0.5086
C03577	-0.3004	-0.0055	-0.1278	-0.0394	-0.6141	-0.2490
C03582	0.2918	0.4363	0.6833	0.3615	-0.0834	-0.0799
C03586	-0.7582	0.1033	0.8599	-0.1093	-0.3638	-0.1495
C03589	-0.2523	-0.0952	-0.5358	0.4472	0.4829	0.6535
C03590	-0.3056	0.3708	-0.1015	0.6038	-0.5351	-0.0665
C03594	0.8041	2.1100	1.2370	1.8032	2.8773	1.9849
C03595	0.2134	0.4130	0.3073	-0.0443	-0.2758	-0.5996
C03598	1.3700	2.2887	1.3993	2.4048	2.1668	2.2959
C03599	-0.3847	0.3033	-0.0073	-0.0505	0.6794	-0.1273
C03611	0.6706	-0.1202	0.6835	-0.2896	0.0446	-0.0255
C03614	-0.1385	-0.0570	-0.3936	0.1773	0.3241	0.3319
C03618	0.0950	-0.2480	0.0931	0.2055	-0.1907	0.3152
C03619	1.6645	1.5376	1.4384	1.6381	2.2651	2.5225
C03621	0.0067	-0.8763	-0.2518	0.3750	-0.3620	-0.0164
C03622	0.6585	0.1957	0.2451	-0.5464	0.6199	-0.5888
C03640	0.9397	1.5574	1.5510	2.2170	1.9164	2.0100
C03642	-0.3184	-0.2060	-0.3170	0.3020	0.1534	0.1681
C03646	-0.4719	0.9210	-0.4104	-0.4014	0.0272	0.1557
C03648	0.4331	-0.2128	-0.2300	0.1737	-0.3962	-0.1426
C03652	0.6063	0.1764	-0.0803	-0.0165	0.6598	0.5790
C03656	-0.2396	-0.3050	0.2434	-0.2301	0.0424	-0.6456
C03657	-0.0948	-0.2237	0.5032	0.6289	-0.2738	-0.1691
C03659	0.9326	1.1445	1.1869	1.0429	1.7152	1.3772
C03660	-0.6294	-0.0003	0.7994	0.0921	-0.1253	0.0045
C03671	-0.7200	0.4844	-0.1156	0.3005	0.3375	-0.2044
C03676	-0.5633	-0.6169	-0.3215	0.1682	-0.0330	0.3342
C03677	0.0227	-0.3403	0.1606	0.2527	0.0617	0.3323
C03680	0.1398	0.1619	-0.0455	-0.2976	-0.0512	0.3649
C03681	-0.1246	-0.4171	-0.2834	-1.0199	-0.7120	-1.3394
C03683	-0.2319	0.6054	-0.3597	0.5520	-0.1153	-0.0432
C03684	-0.4177	0.1477	0.2188	0.3735	0.1060	-0.0819
C03686	-0.1485	-0.2636	0.2620	0.2721	0.2289	-0.0810
C03688	-0.3069	-0.5987	-0.2721	-0.3021	-0.3572	-0.5359
C03690	-0.0321	0.3511	0.1363	0.1433	-0.6889	-0.5688
C03691	-1.0631	-1.6094	-1.9763	-1.9096	-2.1312	-2.4083
C03692	-0.0510	-0.2475	-0.3381	0.1474	0.8524	-0.1722
C03715	0.1975	0.2389	0.4529	-0.1040	0.0329	0.3377
C03719	-0.7096	-0.0561	-0.4387	-0.1373	-0.1524	0.1673
C03722	-0.0560	0.2855	0.8105	0.1174	0.0381	0.7992
C03724	0.2237	0.3392	0.0491	-0.0675	0.2080	-0.2681
C03733	-0.3044	0.4233	0.3600	-0.0461	0.2491	0.7112
C03737	-0.4311	0.6529	0.2109	-0.0420	-0.1648	0.1624
C03740	0.0213	-0.4034	0.2133	0.1546	0.2788	0.2222
C03741	0.1768	0.0121	0.2284	0.5199	-0.0721	-0.1249
C03742	-0.0043	0.1052	-0.4974	-0.4489	-0.2451	0.8431
C03747	0.1967	-0.3169	-0.1006	-0.0536	-0.0419	0.0877
C03752	0.6890	0.0343	-0.5572	0.6366	0.2601	0.4682
C03758	0.0513	-0.4746	-0.2212	0.2303	0.5284	-0.4162
C03765	-0.0789	-0.1357	0.0589	0.4719	-0.3096	-0.2040
C03771	-0.5483	0.1505	-0.1911	0.4802	0.7633	-0.3990
C03772	-0.0677	0.3514	0.1199	-0.5832	-0.5549	0.2924
C03780	0.4511	-0.1308	0.3632	-0.2026	-0.7914	-0.0537
C03785	0.3603	-0.5207	-0.2628	0.1359	-0.0710	-0.2927
C03793	0.3937	-0.3398	0.4510	-0.0367	0.1191	-0.3097
C03794	-0.1604	-0.2070	0.2603	0.4129	0.0720	-0.0140
C03819	-0.0265	-0.6483	0.5374	-0.1735	0.7051	-0.2058
C03820	0.1678	0.3712	0.2280	-0.5857	0.3610	0.3869
C03824	0.4256	-0.3371	-0.1741	0.2432	0.2381	0.0617
C03826	0.3012	-0.5055	-0.2843	0.1475	0.2897	0.3407
C03827	0.1027	0.3972	0.1708	0.1605	-0.3174	0.0288
C03838	0.1681	-0.8594	-1.0241	0.1411	0.2617	0.2972
C03845	0.1511	0.2187	-0.1681	-0.4275	0.2808	-0.5664
C03852	-0.5400	0.4512	0.4765	0.3045	0.1945	0.1563
C03862	-0.0452	-0.0495	-0.4994	0.5590	0.2267	0.3320
C03871	-0.1777	0.3232	0.7826	0.2475	-0.7837	-0.0879
C03872	0.0317	0.2752	0.1154	-0.0246	-0.1076	0.0979
C03892	-0.0923	0.0883	0.3170	-0.0922	-0.3049	0.3018
C03906	0.1419	-0.2624	0.0342	0.2448	-0.0823	-0.1608
C03912	0.1538	-0.5716	-0.1615	-0.0958	0.1825	0.0683
C03917	0.1173	-0.0216	-0.3420	-0.0215	0.2702	-0.1447
C03920	-0.0633	-0.2378	0.2382	-0.2743	0.3276	-0.2835
C03921	-0.2749	0.1242	-0.5698	-0.1573	0.3264	0.0607
C03933	-0.1124	0.3309	-0.1884	0.4142	-0.6053	0.2331
C03935	0.0185	0.6313	-0.1206	-0.0156	-0.2960	-0.2053
C03939	-0.2987	-0.2827	-0.2618	-0.2268	0.2638	-0.1979
C03943	-0.3471	0.2776	0.2477	-0.3548	-0.8897	0.5951
C03944	-0.4099	-0.2080	0.4543	0.0391	0.0800	-0.0881
C03955	0.2197	-0.1790	-0.2562	-0.4741	0.0504	-0.0606
C03964	-0.4809	-1.3519	-0.3889	-1.8830	-0.8948	-1.7739
C03968	-0.8513	0.1161	-0.9380	-0.0705	0.5290	0.0488
C03972	0.8237	0.6683	0.1425	0.4124	-0.0998	-0.5814
C03974	-0.4089	-0.0552	-0.0788	0.2719	-0.7174	-0.3988
C03979	0.1081	0.4779	-0.3172	0.2074	-0.2802	-0.2239
C03981	-0.0396	0.2069	0.1835	0.3288	0.2586	0.2007
C03990	0.1365	-0.2701	0.1343	-0.1896	-0.5087	-0.3685
C03993	0.1105	0.0640	-0.3089	0.2747	0.1145	-0.5322
C03997	0.0946	-0.1227	0.3382	-0.0065	0.3466	0.2988
C04001	-0.1407	-0.1417	0.0288	-0.1903	0.1079	-0.2317
C04002	-0.0974	0.1831	-0.1614	0.4275	0.0687	-0.2799
C04006	0.3975	0.3436	0.0650	-0.4074	-0.4073	-0.5978
C04020	0.6711	0.0083	0.3586	0.7055	-0.0320	0.1060
C04022	-0.3451	-0.5259	-0.1882	0.4211	0.2935	0.3542
C04037	-0.1982	0.0931	-0.2200	0.2340	0.1059	0.4661
C04042	0.6128	0.3249	0.0745	0.1814	0.9387	0.3603
C04043	0.0130	-0.3060	-0.1275	0.0145	-0.3182	0.3738
C04044	-0.1495	0.0511	-0.2019	-0.1906	0.2655	-0.5805
C04045	0.4969	-0.2473	0.3714	-0.3013	0.0499	0.1958
C04046	0.0523	0.0122	0.2015	0.6007	-0.4727	-0.4058
C04051	0.5415	-0.1929	-0.0826	-0.2432	0.7331	0.2253
C04052	0.0906	0.1100	-0.1025	0.3333	0.3953	-0.2674
C04053	-0.3922	0.4546	0.5021	0.0058	0.1597	-0.5495
C04056	-0.5446	0.2921	0.1004	0.2291	-0.6522	0.0834
C04062	-0.0637	0.0493	-0.0380	0.2289	-0.0308	-0.3549
C04063	0.0585	0.0351	0.3355	-0.1394	-0.0697	-0.1741
C04075	1.0263	0.5264	0.4482	-0.1970	-0.4240	-0.1257
C04076	0.2303	0.1000	-0.0879	0.1115	0.1029	0.0556
C04079	-0.0709	0.6702	0.6208	0.4859	0.0674	-0.6016
C04088	0.5081	0.0017	-0.2000	0.2992	-0.1359	0.7778
C04089	1.3693	1.5147	1.6549	2.4255	2.7012	2.5667
C04091	-0.4411	-0.1624	0.7802	0.2109	0.4837	0.0484
C04092	0.2768	0.0103	-0.8258	0.3874	-0.2474	0.1144
C04106	0.1543	-0.2668	0.0731	0.4288	0.0247	-0.3089
C04114	1.3553	1.2034	2.2158	1.3549	2.3381	2.8110
C04115	-0.0937	0.4604	-0.7269	-0.5957	0.6351	0.3268
C04118	-0.1589	-0.6608	0.2798	-0.1415	-0.4451	0.3169
C04121	1.1868	1.8747	1.3124	1.6525	1.8129	2.1791
C04122	-0.3926	0.1897	0.1933	0.0925	0.5733	0.0965
C04133	-0.0342	0.0479	0.1096	-0.2925	0.3047	0.0285
C04137	0.1085	0.1831	-0.0312	0.0967	-0.7947	0.0349
C04145	-0.1348	0.2470	-0.0308	-0.3450	0.0026	-0.3271
C04146	0.9043	-0.0931	-0.1367	-0.0281	0.0075	0.2153
C04148	0.5421	-0.1820	0.4396	0.1606	0.2813	-0.1407
C04180	-0.1090	0.6577	-0.1765	0.0718	-0.2078	-0.4550
C04181	-0.2017	-0.3241	-0.3238	-0.2834	0.0229	-0.3575
C04185	0.0285	-0.0744	-0.1475	0.2565	-0.1751	-0.5318
C04186	-0.0368	-0.2176	0.3595	-0.1001	-0.1858	0.0964
C04188	0.1458	0.2859	-0.3547	0.7842	0.5491	0.4838
C04216	-0.7199	-1.1488	-1.0631	-1.0529	-0.8259	-1.6218
C04217	-0.5182	-0.2852	-0.3403	0.2390	0.1162	0.2847
C04225	0.0746	0.5309	-0.7561	0.2301	-0.2130	0.0277
C04226	0.4996	0.2047	0.3367	0.2078	-0.2273	0.5763
C04227	-0.2677	-0.4111	-0.0228	-0.1958	-0.0868	-0.3565
C04230	0.4773	-0.2851	0.2552	0.3669	0.1172	0.4128
C04233	0.1086	-0.4986	-0.6318	0.3217	0.6277	-0.3483
C04236	0.6531	0.2488	0.0311	0.1817	0.2569	0.0401
C04242	-0.4257	0.1228	0.5186	0.1815	0.1698	0.8411
C04244	0.3264	-0.1053	0.0644	-0.5063	0.0241	-0.1702
C04246	-0.1173	0.1805	-0.4094	0.1405	0.3813	-0.1664
C04257	1.9431	1.3670	1.5234	2.0639	1.9585	2.6267
C04260	-0.1549	-0.1046	-0.1276	0.5065	0.4470	0.1350
C04268	-0.5009	-0.2303	-0.0536	0.2233	-0.0265	-0.3143
C04272	0.0849	0.1672	-0.2522	0.4933	-0.0152	0.1387
C04281	-0.1583	0.1180	-0.0808	0.1621	0.3020	-0.7703
C04282	-0.1612	-0.3163	-0.2334	-0.1664	-0.0589	-0.0377
C04287	-0.2267	0.2544	0.6099	0.2158	0.4809	0.0040
C04290	-0.9624	-0.8212	-0.9568	-0.6345	-1.4277	-1.6139
C04294	-0.4340	-0.0788	0.5121	-0.0558	0.1653	-0.4517
C04295	-0.3038	-0.4124	0.3150	-0.1249	0.3072	-0.5333
C04297	0.3794	-0.0088	-0.1553	0.1684	0.2275	0.2545
C04302	-0.4032	0.7997	0.5049	0.0277	0.2720	-0.2920
C04308	-0.2357	-0.0046	-0.4553	0.0172	-0.0805	0.0235
C04314	-0.5075	0.4419	0.0679	0.0169	0.6369	0.6908
C04315	0.8641	0.8376	1.0885	1.1397	1.1681	1.0427
C04317	-0.2074	0.0022	-0.1213	-0.2269	0.1220	-0.5770
C04324	-0.0746	-0.0126	0.8789	-0.1310	-0.0930	-0.2320
C04327	-0.2987	0.2759	-0.2186	0.8437	0.1744	0.5191
C04330	-0.4351	-0.1251	-0.3527	0.0747	0.2542	-0.2666
C04332	-0.0774	0.2564	0.4220	-0.0700	0.7119	-0.6030
C04346	0.8897	1.2862	1.4877	1.7194	2.2939	2.2613
C04348	0.2014	-0.7584	-0.1447	-0.1115	-0.0341	0.2087
C04349	-0.3423	0.1493	-0.0956	-0.0776	-0.0277	-0.1857
C04350	0.1477	-0.1446	0.0283	-0.5821	0.0284	-0.0896
C04351	0.1430	-0.1001	0.1408	0.5181	0.4789	-0.1123
C04352	0.3554	-0.1444	-0.0184	0.4372	-0.5881	0.3603
C04361	0.1802	-0.3585	0.2053	-0.1323	0.3880	0.4386
C04368	0.7248	-0.3783	-0.2121	0.4629	0.4494	0.0370
C04373	-0.0668	0.1632	-0.1661	-0.0150	-0.3788	-0.3106
C04376	-0.2799	0.1712	0.3559	0.3468	0.0456	-0.1685
C04377	0.1530	-0.1062	-0.4483	0.6657	-0.3507	0.1316
C04390	-0.2621	0.0590	0.1205	-0.0312	-0.4269	-0.3379
C04392	-0.0862	0.1310	-0.0617	0.0544	0.1691	-0.4740
C04405	0.0273	-0.0323	-0.2680	0.1920	0.2392	0.0862
C04409	-0.1265	-0.5037	0.0724	-0.6459	0.5731	-0.5662
C04411	0.1406	-0.2588	0.0740	0.3682	0.4244	0.0297
C04421	-0.4142	-0.0286	-0.1070	0.0524	-0.4994	0.1767
C04432	0.1103	0.2770	0.0832	0.1597	0.5270	-0.2080
C04434	-0.2568	-0.2437	0.3412	0.4556	0.4416	0.5860
C04437	-0.5529	-0.4661	0.0592	-0.0540	-0.4681	-0.0817
C04438	0.6187	-0.1697	0.0880	0.6627	-0.0043	-0.1517
C04442	-0.1990	0.2035	0.4204	0.2512	-0.1966	-0.2509
C04454	0.5904	-0.4666	-0.0151	-0.2043	-0.1306	0.2288
C04457	0.3742	0.3554	-0.3864	0.1649	-0.1880	-0.2594
C04462	0.6313	0.0082	-0.0251	-0.2326	0.0841	0.6721
C04468	-0.2423	0.2925	-0.2212	0.5928	-0.1413	0.5408
C04475	0.5979	-0.1455	-0.0764	-0.0520	-0.0470	0.3718
C04477	0.4761	0.9804	-0.6362	-0.0703	0.1936	0.0796
C04478	1.9073	0.8566	2.2410	1.6862	2.5151	2.4257
C04479	-0.1495	-0.1504	0.3251	0.1434	-0.3848	0.1211
C04483	0.1076	0.0564	0.1601	0.4433	0.4601	-0.0940
C04484	0.6209	-0.4541	-0.2861	-0.0040	-0.0677	0.0917
C04487	-0.0232	0.1584	0.3462	0.3502	-0.1322	-0.0677
C04488	-0.7160	0.8519	0.5917	-0.0507	-0.2562	0.4207
C04494	-0.3598	0.1576	-0.0739	0.1770	0.0781	-0.6437
C04498	0.0958	0.1082	-0.2655	-0.1477	0.0242	0.3063
C04501	0.0895	-0.3450	-0.1261	0.1603	0.2277	-0.2433
C04506	-0.3786	0.4160	-0.3506	0.8281	0.1379	-0.7116
C04517	0.1037	0.0981	0.0783	0.0476	0.3621	0.0885
C04518	0.2749	-0.3141	-0.1506	-0.2277	-0.6489	0.3794
C04520	-0.2995	-0.2326	-0.1656	-0.0130	-0.1805	-0.2445
C04525	0.0002	-0.5078	-0.1625	-0.4514	-0.4551	0.6202
C04534	-0.5862	0.2935	-0.6743	0.4273	0.4337	-0.4867
C04536	-0.0789	-0.2099	-0.3388	-0.5898	0.3912	0.1745
C04546	-0.0815	0.0362	0.1981	0.1580	0.1009	-0.5652
C04549	0.0959	-0.0601	0.2536	-0.5116	0.0646	-0.3473
C04554	-1.9946	-1.2346	-1.8105	-2.4117	-2.0712	-2.5285
C04555	-1.0901	-0.1313	-0.8413	-1.5032	-1.3793	-1.5887
C04556	-0.1174	0.3173	-0.2927	-0.7746	0.1713	-0.4389
