GeneID	Control_R1	Control_R2	Control_R3	Early_R1	Early_R2	Early_R3	Mid_R1	Mid_R2	Mid_R3	Late_R1	Late_R2	Late_R3
ENSMUSG00000060459	10.3374	8.2455	9.5966	7.3007	7.5039	10.6672	6.4057	9.3143	10.0751	8.4950	5.3033	10.2112
ENSMUSG00000060742	7.8787	6.4946	7.2870	17.9455	17.8630	16.6638	2.5162	2.8497	0.8865	4.8332	7.2672	4.7294
ENSMUSG00000061455	10.9690	7.2726	6.7289	17.9800	14.5864	14.3220	9.8391	11.5657	7.2483	14.2376	7.5908	14.7753
ENSMUSG00000062272	10.5246	10.2167	7.9003	9.0546	10.6081	8.8715	6.9151	10.8504	10.7546	12.8241	8.7737	10.1514
ENSMUSG00000062646	7.0452	7.5141	9.4837	6.0483	9.7487	8.7046	9.6075	11.7061	9.7507	9.5167	5.4483	7.7256
ENSMUSG00000063350	5.8698	7.8951	8.8433	17.6893	19.2810	16.2305	13.8945	18.9056	16.1884	8.6282	3.9809	9.3297
ENSMUSG00000063362	13.2575	10.5790	12.4023	9.0763	8.5196	9.5008	11.0521	12.6019	11.0307	11.2652	15.2046	11.5440
ENSMUSG00000064351	9.7084	9.0243	10.3386	11.2285	7.9988	10.8410	8.2553	7.6823	10.4725	8.7042	8.7225	14.3372
ENSMUSG00000064354	8.3429	8.9982	9.0113	8.8885	7.8080	11.0209	8.3991	11.3223	7.7392	14.2571	9.9209	9.7965
ENSMUSG00000064357	-3.2538	-0.8619	3.4710	12.7159	12.7360	13.2475	4.5931	0.1512	4.8163	5.8027	4.0273	3.1919
ENSMUSG00000064436	14.3278	12.0011	17.5366	5.5143	13.1189	10.3969	3.0453	8.0385	7.2970	7.8414	8.3675	6.0117
ENSMUSG00000065080	9.8767	3.7912	7.3980	11.1439	14.4535	11.9309	8.6480	9.0461	13.0236	4.8660	5.6323	8.7837
ENSMUSG00000065371	11.0545	11.3652	9.0347	11.8970	6.0678	7.4114	7.9604	5.5955	9.8393	10.0526	2.0289	6.4931
ENSMUSG00000065469	10.9099	3.7145	6.8989	6.5619	9.2675	8.6761	13.0057	11.1005	7.9349	12.4903	10.9106	10.9983
ENSMUSG00000065601	9.6820	12.7303	8.9897	9.2363	11.4892	7.7185	6.6628	4.2660	7.1235	11.2245	13.4239	13.2973
ENSMUSG00000065815	9.4402	8.8296	6.8080	13.8339	7.5899	7.5054	5.2140	11.2688	10.5481	12.8897	7.1844	12.6360
ENSMUSG00000066241	9.3373	10.5897	10.1257	8.7221	10.5365	5.7324	10.0002	7.6122	7.9543	10.1833	10.1435	10.3050
ENSMUSG00000067336	6.0278	8.6110	11.4588	8.1285	5.2857	8.6279	19.7936	17.7639	18.7169	15.4219	8.6610	7.8017
ENSMUSG00000069441	12.9322	14.4912	14.0447	7.8066	3.7682	5.2086	3.1156	-1.4174	2.8049	11.2942	10.1301	11.7625
ENSMUSG00000070509	6.1135	6.3472	8.5804	6.8910	7.6390	9.4318	15.8589	10.5499	8.1264	9.8491	7.4523	13.6077
ENSMUSG00000071650	6.3384	10.2040	13.2130	11.8287	8.9415	7.5369	11.6988	8.8538	7.8671	9.4637	9.1017	8.0006
ENSMUSG00000073489	8.2452	9.6237	9.5202	17.0712	9.1285	11.8699	8.9995	9.4828	4.9895	3.4186	12.5859	4.6581
ENSMUSG00000073725	11.2275	7.2208	6.9599	18.2871	15.0715	14.2232	9.6925	11.6012	7.2805	14.5560	7.8557	15.0093
ENSMUSG00000073792	7.2145	1.0680	2.8332	5.6451	4.2269	2.2664	4.9493	4.6228	9.1999	8.7002	6.4400	2.9346
ENSMUSG00000073915	9.6358	10.9344	8.6691	8.6338	10.5100	13.5384	8.2287	10.1382	7.0958	8.7604	12.1913	11.1519
ENSMUSG00000073932	10.6806	11.5470	8.1278	2.3934	4.6392	6.3294	18.7634	17.6130	14.9416	6.2801	6.0533	6.3111
ENSMUSG00000074892	7.7138	7.9830	8.5001	15.2655	18.4248	17.8089	7.3335	10.4621	10.2434	12.3443	12.3863	12.2932
ENSMUSG00000075094	9.7096	10.7962	10.9556	8.7291	9.5042	7.4923	6.9891	6.7778	10.4565	13.3989	9.3698	7.1218
ENSMUSG00000075470	12.9988	11.6158	12.9488	11.2414	10.9772	11.1441	13.9135	6.4108	12.9150	10.4233	11.3205	12.4085
ENSMUSG00000077677	6.3229	4.2983	14.0432	8.3733	4.8708	11.6394	16.3189	13.4963	15.8672	14.8585	14.4954	15.9201
ENSMUSG00000078656	7.3502	10.5543	12.6721	8.9749	8.7460	8.2480	11.7487	11.5779	11.1833	10.0592	2.2561	4.2366
ENSMUSG00000079426	11.3160	8.4282	8.2677	8.8956	11.9719	9.8355	10.7644	8.4809	9.1600	10.1869	7.2775	6.9338
ENSMUSG00000079550	7.9398	8.1410	7.1538	7.9188	11.8202	8.6055	7.5579	8.5285	12.0374	15.9817	8.7537	11.4996
ENSMUSG00000081724	17.3391	12.9459	12.9737	11.1285	10.3748	6.6974	9.0719	11.6949	10.7107	8.3843	6.1904	3.4351
ENSMUSG00000084527	5.2364	3.4019	6.5678	4.5067	9.0605	4.6345	10.0266	8.5950	9.9853	11.9944	9.8187	7.8721
ENSMUSG00000084737	13.0252	11.4381	10.4905	9.1339	6.2323	7.6473	8.7490	9.1226	14.5703	9.9410	10.9173	7.6717
ENSMUSG00000090894	10.1204	9.1670	8.6309	11.2255	8.8663	6.7264	9.8952	9.8058	6.6731	9.6539	10.2810	6.6876
ENSMUSG00000093806	8.3166	10.6689	11.0215	8.4095	12.6931	14.3420	11.8936	15.4752	11.5800	14.3601	11.6003	10.7491
ENSMUSG00000095677	8.6078	14.5379	12.0078	11.4008	15.8520	19.0786	1.5375	4.3617	7.0938	11.4982	13.8883	13.2061
ENSMUSG00000096757	13.1728	9.1154	11.6737	2.3078	9.3122	11.3212	11.2643	11.7777	12.0154	9.5180	6.8490	11.5695
ENSMUSG00000101480	8.3632	9.9104	9.8765	12.6469	12.3549	10.5889	9.9449	9.9020	9.1377	11.8144	7.0304	9.5454
ENSMUSG00000102692	7.8598	6.2720	7.6574	18.3638	17.9477	16.7211	2.5882	3.1985	1.2060	4.6771	6.9467	4.3230
ENSMUSG00000105621	9.7552	13.6611	12.1396	6.6877	7.1345	1.2838	11.3132	12.8098	13.0074	7.5820	10.5003	10.8786
ENSMUSG00000106935	12.0945	8.6126	6.3429	11.6973	7.3397	7.6268	10.7972	10.7396	12.2261	7.3813	6.7999	10.8315
ENSMUSG00000108827	10.2563	9.3908	7.5188	9.5291	12.9465	8.2740	10.1776	9.7599	9.8704	7.7794	8.1263	6.4911
ENSMUSG00000110648	4.9213	5.9150	10.5498	9.6083	1.6999	4.4362	13.9751	12.9975	17.5686	4.7503	5.4964	5.7721
ENSMUSG00000112690	13.0110	10.8946	11.9449	8.7229	8.0025	9.0125	11.4515	12.4635	11.4612	10.7971	15.2902	11.7247
ENSMUSG00000115338	10.2578	9.0768	5.6254	10.1979	7.6060	11.0498	11.9786	9.0112	8.0888	9.9054	10.3803	6.8116
ENSMUSG00000118664	12.9935	11.8961	12.7049	10.8581	10.7216	10.8183	14.1973	5.8607	12.9192	10.7506	11.3944	12.7745
ENSMUSG00000118769	-2.8754	-0.5183	3.3846	12.3000	12.7936	13.3234	4.0694	0.1236	4.8435	5.8116	3.4814	3.3624
ENSMUSG00000118773	13.9925	12.2788	17.4881	5.6840	12.9893	10.6966	2.9391	8.3098	7.1875	7.9295	8.5188	6.1817
ENSMUSG00000118816	7.2122	8.3674	7.5152	7.1093	11.9745	7.8552	10.7200	11.2059	11.1376	9.2691	10.5245	9.7935
ENSMUSG00000119131	8.5750	7.4086	7.4882	9.5940	7.7517	10.6697	13.1512	8.8720	9.8162	9.6998	9.0383	10.8166
ENSMUSG00000119240	11.3014	3.5828	6.4797	6.6644	9.1700	9.1150	12.4850	10.8920	8.6325	12.5018	10.8167	11.3599
ENSMUSG00000119342	9.7981	12.7555	9.7356	8.7627	11.4120	7.7965	6.9233	4.6821	6.5540	11.3873	13.6339	12.5716
ENSMUSG00000119353	10.5660	11.8583	7.9899	10.1331	8.9196	11.2618	5.5620	8.6049	10.3620	13.6618	11.7040	13.7083
ENSMUSG00000119869	11.1735	6.6405	10.9527	5.2204	7.5144	8.1132	5.8419	13.7063	11.4668	6.7143	6.2686	9.7314
ENSMUSG00000119895	6.0452	8.9508	11.4775	7.8571	5.7327	8.6770	20.3336	17.4681	18.5482	15.6968	8.1568	8.1445
ENSMUSG00001118662	12.7465	14.5994	14.3040	7.4837	3.7032	5.3801	3.1822	-0.9725	2.6146	11.7342	10.1507	11.6308
