miRNA	Ensembl.Gene.ID	PLR
mmu-miR-129-3p	ENSMUSG00000051498	7.89
mmu-miR-129-3p	ENSMUSG00000060477	3.69
mmu-miR-129-5p	ENSMUSG00000019935	7.21
mmu-miR-129-5p	ENSMUSG00000026208	5.72
mmu-miR-129-5p	ENSMUSG00000026390	3.93
mmu-miR-129-5p	ENSMUSG00000026994	6.90
mmu-miR-129-5p	ENSMUSG00000027890	7.29
mmu-miR-129-5p	ENSMUSG00000028414	4.44
mmu-miR-129-5p	ENSMUSG00000039156	4.83
mmu-miR-129-5p	ENSMUSG00000049550	5.18
mmu-miR-129-5p	ENSMUSG00000069270	6.38
mmu-miR-129-5p	ENSMUSG00000073876	2.36
mmu-miR-129-5p	ENSMUSG00000075420	5.57
mmu-miR-130-3p	ENSMUSG00000026930	2.40
mmu-miR-130-3p	ENSMUSG00000031343	5.18
mmu-miR-130-3p	ENSMUSG00000031997	7.29
mmu-miR-130-3p	ENSMUSG00000052504	3.34
mmu-miR-130-3p	ENSMUSG00000064394	7.19
mmu-miR-130-5p	ENSMUSG00000040112	2.65
mmu-miR-130-5p	ENSMUSG00000043535	6.15
mmu-miR-130-5p	ENSMUSG00000047712	3.14
mmu-miR-130-5p	ENSMUSG00000049307	7.05
mmu-miR-130-5p	ENSMUSG00000054526	5.60
mmu-miR-130-5p	ENSMUSG00000065534	7.42
mmu-miR-130-5p	ENSMUSG00000079436	5.94
mmu-miR-130-5p	ENSMUSG00000084453	3.35
mmu-miR-131-3p	ENSMUSG00000001918	4.27
mmu-miR-131-3p	ENSMUSG00000017740	4.27
mmu-miR-131-3p	ENSMUSG00000019102	4.49
mmu-miR-131-3p	ENSMUSG00000025487	4.20
mmu-miR-131-3p	ENSMUSG00000029084	5.01
mmu-miR-131-3p	ENSMUSG00000051706	7.15
mmu-miR-131-3p	ENSMUSG00000064977	2.33
mmu-miR-131-3p	ENSMUSG00000065111	6.39
mmu-miR-131-3p	ENSMUSG00000065564	4.90
mmu-miR-131-3p	ENSMUSG00000069020	2.97
mmu-miR-131-3p	ENSMUSG00000087875	7.98
mmu-miR-131-3p	ENSMUSG00000119714	6.01
mmu-miR-131-5p	ENSMUSG00000022150	2.04
mmu-miR-131-5p	ENSMUSG00000024331	5.14
mmu-miR-131-5p	ENSMUSG00000030268	2.56
mmu-miR-131-5p	ENSMUSG00000037098	7.27
mmu-miR-131-5p	ENSMUSG00000039254	6.52
mmu-miR-131-5p	ENSMUSG00000045539	7.73
mmu-miR-131-5p	ENSMUSG00000060402	5.84
mmu-miR-131-5p	ENSMUSG00000074264	2.05
mmu-miR-131-5p	ENSMUSG00000112419	7.94
mmu-miR-132-3p	ENSMUSG00000025401	7.24
mmu-miR-132-3p	ENSMUSG00000026568	3.80
mmu-miR-132-3p	ENSMUSG00000044786	1.54
mmu-miR-132-3p	ENSMUSG00000052396	2.74
mmu-miR-132-5p	ENSMUSG00000023120	3.06
mmu-miR-132-5p	ENSMUSG00000025351	2.24
mmu-miR-132-5p	ENSMUSG00000031639	2.35
mmu-miR-132-5p	ENSMUSG00000067220	2.08
mmu-miR-132-5p	ENSMUSG00000069441	2.35
mmu-miR-132-5p	ENSMUSG00000073896	4.24
mmu-miR-132-5p	ENSMUSG00000078355	2.30
mmu-miR-133-3p	ENSMUSG00000005237	7.76
mmu-miR-133-3p	ENSMUSG00000005950	5.25
mmu-miR-133-3p	ENSMUSG00000028747	5.10
mmu-miR-133-3p	ENSMUSG00000029538	7.83
mmu-miR-133-3p	ENSMUSG00000036114	6.31
mmu-miR-133-3p	ENSMUSG00000064326	3.10
mmu-miR-133-3p	ENSMUSG00000064394	1.91
mmu-miR-133-3p	ENSMUSG00000069708	4.35
mmu-miR-133-3p	ENSMUSG00000119288	2.99
mmu-miR-133-5p	ENSMUSG00000025208	6.43
mmu-miR-133-5p	ENSMUSG00000025225	2.88
mmu-miR-133-5p	ENSMUSG00000027009	3.24
mmu-miR-133-5p	ENSMUSG00000039187	2.15
mmu-miR-133-5p	ENSMUSG00000040706	1.94
mmu-miR-134-3p	ENSMUSG00000023070	3.76
mmu-miR-134-3p	ENSMUSG00000027433	2.40
mmu-miR-134-3p	ENSMUSG00000028310	7.41
mmu-miR-134-3p	ENSMUSG00000030423	5.93
mmu-miR-134-3p	ENSMUSG00000031710	6.95
mmu-miR-134-3p	ENSMUSG00000049960	6.45
mmu-miR-134-3p	ENSMUSG00000075934	3.55
mmu-miR-134-3p	ENSMUSG00000110259	7.46
mmu-miR-134-3p	ENSMUSG00002076380	5.17
mmu-miR-134-5p	ENSMUSG00000022808	4.40
mmu-miR-134-5p	ENSMUSG00000026245	4.64
mmu-miR-134-5p	ENSMUSG00000028081	5.49
mmu-miR-134-5p	ENSMUSG00000031221	5.78
mmu-miR-134-5p	ENSMUSG00000034684	4.44
mmu-miR-134-5p	ENSMUSG00000054431	1.84
mmu-miR-134-5p	ENSMUSG00000061079	3.93
mmu-miR-134-5p	ENSMUSG00000065609	5.31
mmu-miR-135-3p	ENSMUSG00000012848	5.93
mmu-miR-135-3p	ENSMUSG00000026401	5.25
mmu-miR-135-3p	ENSMUSG00000026766	4.61
mmu-miR-135-3p	ENSMUSG00000027374	7.83
mmu-miR-135-3p	ENSMUSG00000029059	2.77
mmu-miR-135-3p	ENSMUSG00000058267	2.15
mmu-miR-135-3p	ENSMUSG00000060759	3.37
mmu-miR-135-3p	ENSMUSG00000083011	2.20
mmu-miR-135-5p	ENSMUSG00000021464	6.09
mmu-miR-135-5p	ENSMUSG00000031424	3.49
mmu-miR-135-5p	ENSMUSG00000056130	6.48
mmu-miR-135-5p	ENSMUSG00000057614	1.93
mmu-miR-135-5p	ENSMUSG00000063225	5.26
mmu-miR-135-5p	ENSMUSG00000095655	6.15
mmu-miR-136-3p	ENSMUSG00000019982	4.20
mmu-miR-136-3p	ENSMUSG00000037740	7.47
mmu-miR-136-3p	ENSMUSG00000043366	6.00
mmu-miR-136-3p	ENSMUSG00000063480	3.73
mmu-miR-136-3p	ENSMUSG00000065586	4.38
mmu-miR-136-3p	ENSMUSG00000081897	7.35
mmu-miR-136-3p	ENSMUSG00000088195	1.85
mmu-miR-136-3p	ENSMUSG00000096497	1.61
mmu-miR-136-3p	ENSMUSG00000119262	2.81
mmu-miR-136-5p	ENSMUSG00000004567	4.62
mmu-miR-136-5p	ENSMUSG00000015937	5.51
mmu-miR-136-5p	ENSMUSG00000020009	4.82
mmu-miR-136-5p	ENSMUSG00000025020	7.83
mmu-miR-136-5p	ENSMUSG00000027678	7.64
mmu-miR-136-5p	ENSMUSG00000035152	2.23
mmu-miR-136-5p	ENSMUSG00000036860	1.96
mmu-miR-136-5p	ENSMUSG00000048391	5.80
mmu-miR-136-5p	ENSMUSG00000060681	6.14
mmu-miR-136-5p	ENSMUSG00000078080	4.90
mmu-miR-136-5p	ENSMUSG00000078202	3.72
mmu-miR-136-5p	ENSMUSG00000088547	5.69
mmu-miR-137-3p	ENSMUSG00000036459	2.55
mmu-miR-137-3p	ENSMUSG00000039145	2.75
mmu-miR-137-3p	ENSMUSG00000058440	2.43
mmu-miR-137-3p	ENSMUSG00000062878	6.30
mmu-miR-137-3p	ENSMUSG00000070106	3.41
mmu-miR-137-3p	ENSMUSG00000075167	2.39
mmu-miR-137-3p	ENSMUSG00000118780	2.96
mmu-miR-137-5p	ENSMUSG00000022105	7.44
mmu-miR-137-5p	ENSMUSG00000022556	4.73
mmu-miR-137-5p	ENSMUSG00000032826	2.62
mmu-miR-137-5p	ENSMUSG00000038607	7.02
mmu-miR-137-5p	ENSMUSG00000060499	7.23
mmu-miR-137-5p	ENSMUSG00000071178	6.63
mmu-miR-137-5p	ENSMUSG00000075212	5.60
mmu-miR-137-5p	ENSMUSG00000092807	5.80
mmu-miR-138-3p	ENSMUSG00000004567	4.08
mmu-miR-138-3p	ENSMUSG00000024064	5.09
mmu-miR-138-3p	ENSMUSG00000024142	7.11
mmu-miR-138-3p	ENSMUSG00000027646	3.45
mmu-miR-138-3p	ENSMUSG00000029521	6.02
mmu-miR-138-3p	ENSMUSG00000033502	3.12
mmu-miR-138-3p	ENSMUSG00000033916	5.84
mmu-miR-138-3p	ENSMUSG00000034126	4.38
mmu-miR-138-3p	ENSMUSG00000037035	7.56
mmu-miR-138-3p	ENSMUSG00000075167	7.99
mmu-miR-138-3p	ENSMUSG00000092743	5.48
mmu-miR-138-5p	ENSMUSG00000016528	4.26
mmu-miR-138-5p	ENSMUSG00000021662	7.97
mmu-miR-138-5p	ENSMUSG00000026141	3.63
mmu-miR-138-5p	ENSMUSG00000026260	3.98
mmu-miR-138-5p	ENSMUSG00000027509	6.47
mmu-miR-138-5p	ENSMUSG00000032867	6.43
mmu-miR-138-5p	ENSMUSG00000037236	3.63
mmu-miR-138-5p	ENSMUSG00000047712	5.49
mmu-miR-138-5p	ENSMUSG00000055301	7.75
mmu-miR-138-5p	ENSMUSG00000065402	4.02
mmu-miR-138-5p	ENSMUSG00000092243	5.10
mmu-miR-138-5p	ENSMUSG00000101918	2.50
mmu-miR-139-3p	ENSMUSG00000004446	7.25
mmu-miR-139-3p	ENSMUSG00000024789	5.99
mmu-miR-139-3p	ENSMUSG00000028577	5.13
mmu-miR-139-3p	ENSMUSG00000030278	1.51
mmu-miR-139-3p	ENSMUSG00000037660	4.38
mmu-miR-139-3p	ENSMUSG00000038259	4.69
mmu-miR-139-3p	ENSMUSG00000042423	4.35
mmu-miR-139-3p	ENSMUSG00000052146	3.56
mmu-miR-139-3p	ENSMUSG00000062480	6.60
mmu-miR-139-3p	ENSMUSG00000078937	1.51
mmu-miR-139-3p	ENSMUSG00000091086	7.60
mmu-miR-139-3p	ENSMUSG00000118910	2.11
mmu-miR-139-5p	ENSMUSG00000031491	6.64
mmu-miR-139-5p	ENSMUSG00000040808	5.09
mmu-miR-139-5p	ENSMUSG00000067220	7.53
mmu-miR-139-5p	ENSMUSG00000073418	1.58
mmu-miR-140-3p	ENSMUSG00000015619	5.32
mmu-miR-140-3p	ENSMUSG00000018841	2.32
mmu-miR-140-3p	ENSMUSG00000021536	4.07
mmu-miR-140-3p	ENSMUSG00000025340	7.98
mmu-miR-140-3p	ENSMUSG00000033220	7.24
mmu-miR-140-3p	ENSMUSG00000034345	1.66
mmu-miR-140-3p	ENSMUSG00000036120	7.00
mmu-miR-140-3p	ENSMUSG00000038754	3.76
mmu-miR-140-3p	ENSMUSG00000038954	4.18
mmu-miR-140-3p	ENSMUSG00000043964	2.34
mmu-miR-140-3p	ENSMUSG00000119074	7.96
mmu-miR-140-5p	ENSMUSG00000021639	6.50
mmu-miR-140-5p	ENSMUSG00000025373	2.97
mmu-miR-140-5p	ENSMUSG00000027952	2.60
mmu-miR-140-5p	ENSMUSG00000029084	2.20
mmu-miR-140-5p	ENSMUSG00000029433	2.44
mmu-miR-140-5p	ENSMUSG00000030871	6.50
mmu-miR-140-5p	ENSMUSG00000050215	2.77
mmu-miR-140-5p	ENSMUSG00000064923	3.56
mmu-miR-140-5p	ENSMUSG00000090137	7.04
mmu-miR-140-5p	ENSMUSG00000100926	4.61
mmu-miR-140-5p	ENSMUSG00000116648	6.23
mmu-miR-140-5p	ENSMUSG00000118677	4.93
mmu-miR-141-3p	ENSMUSG00000010025	6.70
mmu-miR-141-3p	ENSMUSG00000031424	5.14
mmu-miR-141-3p	ENSMUSG00000062687	4.14
mmu-miR-141-3p	ENSMUSG00000084453	2.29
mmu-miR-141-3p	ENSMUSG00000095377	7.38
mmu-miR-141-5p	ENSMUSG00000020775	3.48
mmu-miR-141-5p	ENSMUSG00000025340	1.60
mmu-miR-141-5p	ENSMUSG00000027199	3.94
mmu-miR-141-5p	ENSMUSG00000058807	3.07
mmu-miR-142-3p	ENSMUSG00000006740	6.43
mmu-miR-142-3p	ENSMUSG00000033220	2.76
mmu-miR-142-3p	ENSMUSG00000039001	7.28
mmu-miR-142-3p	ENSMUSG00000047989	3.99
mmu-miR-142-3p	ENSMUSG00000074841	5.48
mmu-miR-142-3p	ENSMUSG00000095845	5.69
mmu-miR-142-3p	ENSMUSG00000118918	3.76
mmu-miR-142-5p	ENSMUSG00000022551	6.80
mmu-miR-142-5p	ENSMUSG00000023791	2.45
mmu-miR-142-5p	ENSMUSG00000024799	6.79
mmu-miR-142-5p	ENSMUSG00000032280	7.02
mmu-miR-142-5p	ENSMUSG00000036678	6.02
mmu-miR-142-5p	ENSMUSG00000041133	7.22
mmu-miR-142-5p	ENSMUSG00000045691	6.01
mmu-miR-142-5p	ENSMUSG00000065524	5.98
mmu-miR-142-5p	ENSMUSG00000073557	1.92
mmu-miR-142-5p	ENSMUSG00000077666	2.16
mmu-miR-142-5p	ENSMUSG00000084275	6.74
mmu-miR-142-5p	ENSMUSG00000092743	7.46
mmu-miR-143-3p	ENSMUSG00000008136	3.18
mmu-miR-143-3p	ENSMUSG00000023070	2.81
mmu-miR-143-3p	ENSMUSG00000040415	2.83
mmu-miR-143-3p	ENSMUSG00000040455	6.67
mmu-miR-143-3p	ENSMUSG00000054146	5.19
mmu-miR-143-3p	ENSMUSG00000056228	8.00
mmu-miR-143-3p	ENSMUSG00000065562	1.92
mmu-miR-143-3p	ENSMUSG00000071519	3.98
mmu-miR-143-3p	ENSMUSG00000082882	4.35
mmu-miR-143-3p	ENSMUSG00000096365	2.08
mmu-miR-143-3p	ENSMUSG00000119262	2.01
mmu-miR-143-5p	ENSMUSG00000000776	5.58
mmu-miR-143-5p	ENSMUSG00000003429	3.25
mmu-miR-143-5p	ENSMUSG00000003808	3.83
mmu-miR-143-5p	ENSMUSG00000004771	6.58
mmu-miR-143-5p	ENSMUSG00000020123	5.61
mmu-miR-143-5p	ENSMUSG00000024578	2.76
mmu-miR-143-5p	ENSMUSG00000034687	5.18
mmu-miR-143-5p	ENSMUSG00000044441	3.27
mmu-miR-143-5p	ENSMUSG00000063704	2.36
mmu-miR-143-5p	ENSMUSG00000065623	4.24
mmu-miR-143-5p	ENSMUSG00000108728	3.89
mmu-miR-143-5p	ENSMUSG00000119493	7.80
mmu-miR-144-3p	ENSMUSG00000027854	2.06
mmu-miR-144-3p	ENSMUSG00000036825	2.03
mmu-miR-144-3p	ENSMUSG00000046167	4.60
mmu-miR-144-3p	ENSMUSG00000046223	4.61
mmu-miR-144-5p	ENSMUSG00000020734	4.62
mmu-miR-144-5p	ENSMUSG00000025091	5.25
mmu-miR-144-5p	ENSMUSG00000030045	7.32
mmu-miR-144-5p	ENSMUSG00000031701	4.73
mmu-miR-144-5p	ENSMUSG00000033295	3.77
mmu-miR-144-5p	ENSMUSG00000052435	5.84
mmu-miR-144-5p	ENSMUSG00000064734	4.94
mmu-miR-144-5p	ENSMUSG00000070236	3.61
mmu-miR-144-5p	ENSMUSG00000073924	5.95
mmu-miR-144-5p	ENSMUSG00000100751	2.10
mmu-miR-145-3p	ENSMUSG00000007892	5.12
mmu-miR-145-3p	ENSMUSG00000015619	6.00
mmu-miR-145-3p	ENSMUSG00000022074	5.34
mmu-miR-145-3p	ENSMUSG00000023940	3.22
mmu-miR-145-3p	ENSMUSG00000026385	3.08
mmu-miR-145-3p	ENSMUSG00000028430	2.95
mmu-miR-145-3p	ENSMUSG00000028789	7.70
mmu-miR-145-3p	ENSMUSG00000035351	1.92
mmu-miR-145-3p	ENSMUSG00000082769	3.10
mmu-miR-145-3p	ENSMUSG00000094721	2.90
mmu-miR-145-5p	ENSMUSG00000017652	5.53
mmu-miR-145-5p	ENSMUSG00000025409	5.41
mmu-miR-145-5p	ENSMUSG00000026782	4.45
mmu-miR-145-5p	ENSMUSG00000027374	5.51
mmu-miR-145-5p	ENSMUSG00000027602	5.56
mmu-miR-145-5p	ENSMUSG00000052962	3.88
mmu-miR-145-5p	ENSMUSG00000075153	3.65
mmu-miR-145-5p	ENSMUSG00000118727	5.35
mmu-miR-146-3p	ENSMUSG00000021546	7.39
mmu-miR-146-3p	ENSMUSG00000027646	3.27
mmu-miR-146-3p	ENSMUSG00000028558	3.22
mmu-miR-146-3p	ENSMUSG00000028972	7.70
mmu-miR-146-3p	ENSMUSG00000031562	6.29
mmu-miR-146-3p	ENSMUSG00000032679	3.61
mmu-miR-146-3p	ENSMUSG00000073944	5.57
mmu-miR-146-3p	ENSMUSG00000119339	2.39
mmu-miR-146-5p	ENSMUSG00000030657	6.86
mmu-miR-146-5p	ENSMUSG00000032018	6.32
mmu-miR-146-5p	ENSMUSG00000064201	3.84
mmu-miR-146-5p	ENSMUSG00000094673	3.08
mmu-miR-146-5p	ENSMUSG00000095677	7.25
mmu-miR-146-5p	ENSMUSG00000096135	6.75
mmu-miR-147-3p	ENSMUSG00000022574	5.09
mmu-miR-147-3p	ENSMUSG00000026630	6.56
mmu-miR-147-3p	ENSMUSG00000038240	6.91
mmu-miR-147-3p	ENSMUSG00000089789	3.87
mmu-miR-147-3p	ENSMUSG00000121846	4.92
mmu-miR-147-5p	ENSMUSG00000023070	5.56
mmu-miR-147-5p	ENSMUSG00000036833	2.21
mmu-miR-147-5p	ENSMUSG00000040957	4.76
mmu-miR-147-5p	ENSMUSG00000046908	1.73
mmu-miR-147-5p	ENSMUSG00000065620	2.60
mmu-miR-147-5p	ENSMUSG00000067702	4.27
mmu-miR-147-5p	ENSMUSG00000112341	3.00
mmu-miR-148-3p	ENSMUSG00000005410	4.58
mmu-miR-148-3p	ENSMUSG00000019942	3.65
mmu-miR-148-3p	ENSMUSG00000020022	6.15
mmu-miR-148-3p	ENSMUSG00000022812	5.48
mmu-miR-148-3p	ENSMUSG00000025958	3.54
mmu-miR-148-3p	ENSMUSG00000031289	1.81
mmu-miR-148-3p	ENSMUSG00000065702	4.56
mmu-miR-148-5p	ENSMUSG00000000817	1.65
mmu-miR-148-5p	ENSMUSG00000022672	5.05
mmu-miR-148-5p	ENSMUSG00000031217	1.58
mmu-miR-148-5p	ENSMUSG00000037580	5.46
mmu-miR-148-5p	ENSMUSG00000046354	4.94
mmu-miR-148-5p	ENSMUSG00000050092	7.18
mmu-miR-148-5p	ENSMUSG00000053483	4.11
mmu-miR-148-5p	ENSMUSG00000063777	3.46
mmu-miR-148-5p	ENSMUSG00000065053	4.00
mmu-miR-149-3p	ENSMUSG00000050128	2.47
mmu-miR-149-3p	ENSMUSG00000065702	3.84
mmu-miR-149-3p	ENSMUSG00000095187	3.52
mmu-miR-149-3p	ENSMUSG00000119516	3.11
mmu-miR-149-5p	ENSMUSG00000018899	7.78
mmu-miR-149-5p	ENSMUSG00000021789	5.20
mmu-miR-149-5p	ENSMUSG00000027995	7.63
mmu-miR-149-5p	ENSMUSG00000028496	4.82
mmu-miR-149-5p	ENSMUSG00000052146	6.48
mmu-miR-149-5p	ENSMUSG00000067567	1.87
mmu-miR-150-3p	ENSMUSG00000014361	3.46
mmu-miR-150-3p	ENSMUSG00000024587	2.73
mmu-miR-150-3p	ENSMUSG00000029059	6.91
mmu-miR-150-3p	ENSMUSG00000031490	3.67
mmu-miR-150-3p	ENSMUSG00000033526	2.58
mmu-miR-150-3p	ENSMUSG00000036466	6.19
mmu-miR-150-3p	ENSMUSG00000036760	1.95
mmu-miR-150-3p	ENSMUSG00000042015	3.24
mmu-miR-150-3p	ENSMUSG00000055817	2.49
mmu-miR-150-3p	ENSMUSG00000058200	6.98
mmu-miR-150-3p	ENSMUSG00000068391	7.94
mmu-miR-150-3p	ENSMUSG00000069708	6.68
mmu-miR-150-5p	ENSMUSG00000014776	1.57
mmu-miR-150-5p	ENSMUSG00000022757	6.24
mmu-miR-150-5p	ENSMUSG00000026698	6.71
mmu-miR-150-5p	ENSMUSG00000029684	6.88
mmu-miR-150-5p	ENSMUSG00000037032	4.67
mmu-miR-150-5p	ENSMUSG00000055571	7.03
mmu-miR-150-5p	ENSMUSG00000063903	4.05
mmu-miR-150-5p	ENSMUSG00000065702	6.71
mmu-miR-150-5p	ENSMUSG00000065905	2.56
mmu-miR-151-3p	ENSMUSG00000028789	4.99
mmu-miR-151-3p	ENSMUSG00000031289	4.64
mmu-miR-151-3p	ENSMUSG00000034467	5.01
mmu-miR-151-3p	ENSMUSG00000066392	5.57
mmu-miR-151-3p	ENSMUSG00000118789	3.13
mmu-miR-151-5p	ENSMUSG00000006005	5.52
mmu-miR-151-5p	ENSMUSG00000028670	2.56
mmu-miR-151-5p	ENSMUSG00000042349	2.91
mmu-miR-151-5p	ENSMUSG00000049648	2.97
mmu-miR-151-5p	ENSMUSG00000075419	3.73
mmu-miR-151-5p	ENSMUSG00000095187	3.96
mmu-miR-151-5p	ENSMUSG00000106918	3.37
mmu-miR-152-3p	ENSMUSG00000029125	4.67
mmu-miR-152-3p	ENSMUSG00000033105	4.58
mmu-miR-152-3p	ENSMUSG00000100751	2.57
mmu-miR-152-3p	ENSMUSG00000119476	3.07
mmu-miR-152-5p	ENSMUSG00000024436	4.34
mmu-miR-152-5p	ENSMUSG00000036372	6.00
mmu-miR-152-5p	ENSMUSG00000065667	2.69
mmu-miR-152-5p	ENSMUSG00000065705	3.59
mmu-miR-152-5p	ENSMUSG00000089399	7.15
mmu-miR-153-3p	ENSMUSG00000018567	6.41
mmu-miR-153-3p	ENSMUSG00000026618	4.64
mmu-miR-153-3p	ENSMUSG00000031834	3.01
mmu-miR-153-3p	ENSMUSG00000038276	2.74
mmu-miR-153-3p	ENSMUSG00000049806	4.00
mmu-miR-153-3p	ENSMUSG00000053719	3.70
mmu-miR-153-3p	ENSMUSG00000064707	2.55
mmu-miR-153-3p	ENSMUSG00000087924	6.91
mmu-miR-153-3p	ENSMUSG00000095586	6.45
mmu-miR-153-5p	ENSMUSG00000023439	4.26
mmu-miR-153-5p	ENSMUSG00000026155	2.20
mmu-miR-153-5p	ENSMUSG00000027011	5.71
mmu-miR-153-5p	ENSMUSG00000028789	5.37
mmu-miR-153-5p	ENSMUSG00000039097	2.19
mmu-miR-153-5p	ENSMUSG00000056025	4.17
mmu-miR-153-5p	ENSMUSG00000119523	7.58
mmu-miR-154-3p	ENSMUSG00000017390	7.29
mmu-miR-154-3p	ENSMUSG00000020257	4.02
mmu-miR-154-3p	ENSMUSG00000074268	6.01
mmu-miR-154-3p	ENSMUSG00000075094	7.06
mmu-miR-154-3p	ENSMUSG00000093804	3.70
mmu-miR-154-3p	ENSMUSG00000118708	6.49
mmu-miR-154-3p	ENSMUSG00000141775	6.53
mmu-miR-154-5p	ENSMUSG00000022753	1.91
mmu-miR-154-5p	ENSMUSG00000027932	6.41
mmu-miR-154-5p	ENSMUSG00000033623	6.51
mmu-miR-154-5p	ENSMUSG00000040455	3.72
mmu-miR-154-5p	ENSMUSG00000049307	6.66
mmu-miR-155-3p	ENSMUSG00000022667	4.61
mmu-miR-155-3p	ENSMUSG00000025608	3.35
mmu-miR-155-3p	ENSMUSG00000027776	2.06
mmu-miR-155-3p	ENSMUSG00000029622	1.71
mmu-miR-155-3p	ENSMUSG00000047544	6.62
mmu-miR-155-3p	ENSMUSG00000049674	6.22
mmu-miR-155-3p	ENSMUSG00000061079	6.68
mmu-miR-155-3p	ENSMUSG00000063777	4.38
mmu-miR-155-3p	ENSMUSG00000065609	3.29
mmu-miR-155-3p	ENSMUSG00000079641	2.21
mmu-miR-155-3p	ENSMUSG00000096705	3.53
mmu-miR-155-5p	ENSMUSG00000005575	2.63
mmu-miR-155-5p	ENSMUSG00000016319	2.38
mmu-miR-155-5p	ENSMUSG00000022248	5.87
mmu-miR-155-5p	ENSMUSG00000026648	2.41
mmu-miR-155-5p	ENSMUSG00000036928	2.88
mmu-miR-155-5p	ENSMUSG00000061393	5.53
mmu-miR-156-3p	ENSMUSG00000018822	4.23
mmu-miR-156-3p	ENSMUSG00000020432	4.12
mmu-miR-156-3p	ENSMUSG00000030303	7.93
mmu-miR-156-3p	ENSMUSG00000032018	6.43
mmu-miR-156-3p	ENSMUSG00000037022	4.96
mmu-miR-156-3p	ENSMUSG00000045994	7.05
mmu-miR-156-3p	ENSMUSG00000048304	5.19
mmu-miR-156-3p	ENSMUSG00000052146	2.90
mmu-miR-156-3p	ENSMUSG00000059087	6.50
mmu-miR-156-3p	ENSMUSG00000062309	6.28
mmu-miR-156-3p	ENSMUSG00000079263	7.54
mmu-miR-156-3p	ENSMUSG00000088001	5.55
mmu-miR-156-5p	ENSMUSG00000020372	5.66
mmu-miR-156-5p	ENSMUSG00000035772	5.43
mmu-miR-156-5p	ENSMUSG00000042745	7.21
mmu-miR-156-5p	ENSMUSG00000062751	4.75
mmu-miR-157-3p	ENSMUSG00000023439	2.77
mmu-miR-157-3p	ENSMUSG00000024578	5.97
mmu-miR-157-3p	ENSMUSG00000032047	2.58
mmu-miR-157-3p	ENSMUSG00000036860	2.54
mmu-miR-157-3p	ENSMUSG00000038365	4.18
mmu-miR-157-3p	ENSMUSG00000072720	5.14
mmu-miR-157-3p	ENSMUSG00000095527	5.80
mmu-miR-157-3p	ENSMUSG00000116780	1.55
mmu-miR-157-5p	ENSMUSG00000022551	4.98
mmu-miR-157-5p	ENSMUSG00000029777	7.10
mmu-miR-157-5p	ENSMUSG00000030220	4.15
mmu-miR-157-5p	ENSMUSG00000031220	5.52
mmu-miR-157-5p	ENSMUSG00000068809	6.19
mmu-miR-157-5p	ENSMUSG00000070808	3.57
mmu-miR-157-5p	ENSMUSG00000081675	2.87
mmu-miR-157-5p	ENSMUSG00000096766	4.04
mmu-miR-157-5p	ENSMUSG00000119378	2.28
mmu-miR-157-5p	ENSMUSG00000119743	4.66
mmu-miR-158-3p	ENSMUSG00000000555	7.95
mmu-miR-158-3p	ENSMUSG00000027776	7.84
mmu-miR-158-3p	ENSMUSG00000029777	4.69
mmu-miR-158-3p	ENSMUSG00000030282	7.85
mmu-miR-158-3p	ENSMUSG00000031367	4.55
mmu-miR-158-3p	ENSMUSG00000042340	4.33
mmu-miR-158-3p	ENSMUSG00000050382	2.13
mmu-miR-158-3p	ENSMUSG00000058952	7.34
mmu-miR-158-3p	ENSMUSG00000065609	4.84
mmu-miR-158-3p	ENSMUSG00000119509	3.86
mmu-miR-158-3p	ENSMUSG00000119808	3.50
mmu-miR-158-5p	ENSMUSG00000002108	3.55
mmu-miR-158-5p	ENSMUSG00000024665	3.40
mmu-miR-158-5p	ENSMUSG00000040649	1.59
mmu-miR-158-5p	ENSMUSG00000055371	7.18
mmu-miR-158-5p	ENSMUSG00000064772	4.54
mmu-miR-158-5p	ENSMUSG00000067825	2.11
mmu-miR-159-3p	ENSMUSG00000000394	5.21
mmu-miR-159-3p	ENSMUSG00000020256	6.17
mmu-miR-159-3p	ENSMUSG00000021789	3.24
mmu-miR-159-3p	ENSMUSG00000027919	2.84
mmu-miR-159-3p	ENSMUSG00000032407	4.00
mmu-miR-159-3p	ENSMUSG00000048915	2.09
mmu-miR-159-3p	ENSMUSG00000053862	2.85
mmu-miR-159-3p	ENSMUSG00000070203	2.74
mmu-miR-159-3p	ENSMUSG00000116378	2.59
mmu-miR-159-3p	ENSMUSG00000119731	5.81
mmu-miR-159-5p	ENSMUSG00000018822	5.83
mmu-miR-159-5p	ENSMUSG00000024327	7.87
mmu-miR-159-5p	ENSMUSG00000026853	3.43
mmu-miR-159-5p	ENSMUSG00000027854	4.48
mmu-miR-159-5p	ENSMUSG00000030220	2.67
mmu-miR-159-5p	ENSMUSG00000039242	7.81
mmu-miR-159-5p	ENSMUSG00000040669	2.38
mmu-miR-159-5p	ENSMUSG00000064964	7.02
mmu-miR-159-5p	ENSMUSG00000067274	3.23
mmu-miR-159-5p	ENSMUSG00000070692	1.72
mmu-miR-159-5p	ENSMUSG00000071711	6.37
mmu-miR-160-3p	ENSMUSG00000000340	6.86
mmu-miR-160-3p	ENSMUSG00000021814	5.50
mmu-miR-160-3p	ENSMUSG00000027908	1.92
mmu-miR-160-3p	ENSMUSG00000031834	3.59
