RegulatorID	Batch_1_Ctr_0H	Batch_2_Ctr_0H	Batch_4_Ctr_0H	Batch_1_Ctr_2H	Batch_3_Ctr_2H	Batch_4_Ctr_2H	Batch_1_Ctr_6H	Batch_3_Ctr_6H	Batch_4_Ctr_6H	Batch_1_Ctr_12H	Batch_3_Ctr_12H	Batch_4_Ctr_12H	Batch_1_Ctr_18H	Batch_3_Ctr_18H	Batch_4_Ctr_18H	Batch_1_Ctr_24H	Batch_3_Ctr_24H	Batch_4_Ctr_24H	Batch_1_Ik_0H	Batch_2_Ik_0H	Batch_4_Ik_0H	Batch_1_Ik_2H	Batch_3_Ik_2H	Batch_4_Ik_2H	Batch_1_Ik_6H	Batch_3_Ik_6H	Batch_4_Ik_6H	Batch_1_Ik_12H	Batch_3_Ik_12H	Batch_4_Ik_12H	Batch_1_Ik_18H	Batch_3_Ik_18H	Batch_4_Ik_18H	Batch_1_Ik_24H	Batch_3_Ik_24H	Batch_4_Ik_24H
Eif2ak2	11.602785	11.409349	11.843695	11.694584	11.831744	11.955178	11.544697	11.814785	11.746754	11.720972	11.774402	11.675276	12.044160	12.504116	11.971506	11.740806	11.636388	11.089245	11.671286	12.160266	11.709707	11.596318	11.207422	11.053919	10.709055	11.162370	11.116560	10.052928	10.330267	8.843220	10.061637	10.483652	10.118598	10.191836	10.310255	9.916466
Elf1	14.231922	14.080244	14.177883	14.141940	14.163544	13.325011	13.478893	13.819923	13.004042	14.322418	13.989930	13.496246	14.109065	13.908757	13.301261	13.996758	14.045095	13.623816	14.500269	14.419386	14.385175	14.623307	14.530988	13.891611	15.047387	14.692695	14.510033	14.864075	15.046706	14.887093	15.382750	15.448811	15.633420	15.526752	15.477483	15.607856
Elf4	14.012421	13.880483	14.002980	13.873407	13.970747	13.168436	13.628108	13.635625	13.126464	14.173225	13.886854	13.503575	14.027231	13.705669	13.276559	13.801344	14.008405	13.658329	13.727978	13.688070	13.878009	13.951962	13.843999	13.111608	14.311195	13.893639	13.572945	13.566692	13.892047	13.761832	13.769382	13.795667	13.825905	13.770078	13.843724	13.776910
Elk1	11.496863	11.546452	11.664560	11.599469	11.682513	11.217140	11.098532	11.244623	10.978555	11.728305	11.563491	11.327467	11.472198	11.071425	11.073415	11.689103	11.372459	12.072154	11.341697	10.996745	11.488343	11.074417	11.179170	10.968803	11.818871	11.561906	11.277966	11.357362	11.760331	11.929862	12.111594	11.993027	11.834721	12.248039	12.347306	12.033952
Elk3	12.342858	12.167735	12.212842	12.031533	12.060913	11.810189	11.778215	11.806792	11.506946	12.266207	11.859042	11.639413	12.155997	11.948035	11.590571	12.145202	11.886177	11.966579	12.915553	12.986904	12.743514	11.481578	11.658415	11.535670	12.017256	11.690860	11.542137	12.572672	12.777278	12.408340	13.462031	13.299056	13.160402	13.574761	13.534974	13.387463
Ell3	4.239804	5.069916	5.042850	4.935083	4.441563	4.802247	5.188417	5.196788	5.488965	4.039322	3.692959	3.942112	4.928896	5.078867	6.351014	4.838144	4.684702	5.127969	3.360999	3.545166	3.775296	6.795142	6.788647	7.744939	9.788666	9.737673	10.528217	11.191408	11.136411	11.738974	11.049626	11.186450	10.902393	10.577389	10.725568	11.304323
Ep300	13.485280	13.514567	13.459608	13.158818	13.287936	12.823489	13.197715	12.999004	12.643992	13.482936	13.203564	13.020831	13.184172	12.770840	13.019066	13.305256	13.177470	13.308374	13.772137	13.346310	13.651492	13.282506	13.524935	13.198492	13.890588	13.620448	13.137848	13.898445	14.166827	14.684775	14.209205	14.215263	14.169411	14.388543	14.220571	14.216222
Epor	5.916194	5.387593	5.918422	5.670894	6.156495	5.541994	5.663934	5.102403	6.703766	6.804386	7.241531	6.174897	6.024886	6.040249	6.640896	6.515081	6.530730	7.347072	5.955319	5.664987	6.158439	5.908242	6.397332	5.541726	5.916938	6.605589	5.204537	5.923385	5.860965	6.145321	5.826908	6.823290	6.116125	7.083982	7.058589	7.105621
Erf	11.799941	11.752135	11.736007	11.446011	11.781234	10.944219	11.202344	11.219935	10.842142	11.771641	11.509981	11.242654	11.729835	11.441104	10.875839	11.783451	11.625706	11.319190	11.846258	11.558911	11.617725	11.454275	11.324600	10.557637	11.409456	10.876635	10.403272	10.616383	10.607141	10.759192	10.579265	10.199906	10.072093	10.663900	10.267640	10.083521
Esr1	8.231729	7.997535	7.421902	7.927215	7.979559	7.446597	9.456126	7.919433	8.947678	8.290652	7.710254	8.074218	8.013066	7.334498	7.653804	7.936541	7.551567	8.303729	8.432940	8.107398	8.488527	7.609113	8.486437	8.086252	7.718001	7.232781	6.375551	8.192135	7.916366	9.072605	8.678048	7.742150	8.261900	8.189119	8.263326	8.190372
Esrra	12.447815	12.408410	12.527747	12.573015	12.551002	12.950382	12.512514	12.641935	12.767336	12.379176	12.621043	12.843073	12.347558	12.689262	12.864623	12.501396	12.478350	12.821853	12.180544	12.195655	12.241768	12.357860	12.392116	12.890399	11.950040	12.361123	12.332043	12.100182	12.017104	11.701739	11.909345	11.940179	12.037885	11.975038	12.170453	12.059666
Ets1	7.101264	7.230103	7.797021	6.975469	7.369173	6.733921	7.946326	6.752337	6.058025	6.774569	7.362167	7.014291	7.118504	6.591079	6.200028	6.904874	7.585242	7.223662	12.443810	12.016218	12.469676	10.767612	10.763530	10.275181	12.076874	11.202068	11.548012	13.175411	12.906856	12.494485	14.775652	14.523035	15.339963	15.391408	14.542404	15.311523
Ets2	10.374902	10.356684	10.404395	10.515396	10.596601	10.139298	9.999811	9.862745	9.603884	10.298662	10.429474	10.207290	10.504114	10.213215	10.012047	10.284335	10.408587	9.960345	10.431040	10.316455	10.364803	10.395874	10.625272	9.900122	10.439210	10.281585	9.825792	10.578211	10.411039	10.503499	12.154204	11.867064	12.118596	12.481828	12.294578	12.020199
Etv4	12.981694	13.054850	12.959787	13.301859	13.058777	13.339149	13.515837	13.319236	13.432085	13.201603	13.276244	13.464697	13.183350	13.227588	13.590226	13.247504	13.176115	13.530622	12.748888	12.886275	12.807172	13.181985	13.104668	13.262113	13.094760	13.449289	13.351272	11.396616	11.971264	11.015104	9.271764	9.557136	8.913987	8.781050	9.784966	8.608675
Etv5	13.901261	13.797387	13.801688	13.867234	14.101140	13.306723	13.748631	13.922931	13.306061	14.144204	14.162438	13.727723	13.870071	13.830328	13.626108	14.028156	14.281219	14.132672	14.372316	14.071085	14.083780	13.510767	13.606575	12.982200	13.713202	13.610560	13.261570	12.879642	12.978698	13.053140	11.533617	11.761860	12.001099	11.875177	12.059288	11.694072
Etv6	12.748600	12.667342	13.004362	12.742964	12.778539	12.046198	12.875294	12.622401	12.181079	13.010975	12.859629	12.421578	12.933944	12.743604	12.099311	12.834767	12.790787	12.573326	13.302031	13.211675	13.492559	11.834196	12.166617	11.451337	11.866844	11.390037	11.170685	11.549329	12.033568	11.697614	11.927483	11.946794	11.726164	11.825381	11.734300	11.680633
Ewsr1	16.425444	16.423103	16.584677	16.617218	16.580744	16.123065	16.819171	16.364973	16.224080	16.596732	16.445196	16.281761	16.343419	16.143966	16.333206	16.475248	16.469759	16.679525	16.327942	16.108318	16.401024	16.132278	16.366154	16.232017	16.529531	16.275625	16.315508	16.287248	16.458886	16.621225	16.181298	16.171773	16.131441	15.970702	16.143500	16.066093
Ezh1	11.966943	12.028797	11.888704	11.896456	12.035901	11.947386	12.155676	11.948911	11.845331	11.945577	11.933776	11.973692	11.999429	11.875066	12.139585	11.880693	11.943010	11.922285	11.909122	11.740790	11.699305	11.442565	11.561243	11.525649	11.524626	11.143690	11.274715	11.679749	11.687664	12.094860	11.655808	11.366242	11.421140	11.912155	11.609896	11.660345
Ezh2	15.170986	15.169630	15.188782	14.923686	15.076553	15.036835	15.115455	15.150214	15.034470	15.058329	15.029763	15.037340	15.088606	15.150987	14.989525	15.022659	15.000252	14.836853	14.779088	14.829878	14.720868	15.220260	15.061052	15.295678	15.119967	15.078184	15.024920	15.499511	15.379723	15.154948	15.897400	15.970097	16.063255	16.471116	16.395942	16.245058
Fli1	14.357573	14.120747	14.369225	14.310109	14.319140	13.540693	13.980117	13.946881	13.309805	14.329437	14.054185	13.591828	14.064855	13.747813	13.129732	13.979637	13.983270	13.740988	14.476913	14.188248	14.427668	13.669996	13.735904	12.972634	14.083121	13.721231	13.302165	13.962844	14.096922	14.077955	14.914169	14.849631	15.013595	15.224784	15.014085	15.055065
Flii	14.310787	14.216959	14.284989	14.161998	14.299032	13.843823	14.024097	14.103449	13.789192	14.445203	14.129397	13.937304	14.556228	14.406673	13.780939	14.343658	14.234636	13.739699	14.495529	14.637635	14.569010	14.637166	14.352312	14.019918	14.785389	14.455297	14.324420	14.972235	15.028236	14.703159	15.268573	15.232946	15.247036	15.389093	15.121673	15.373907
Fmr1	12.727784	12.697488	12.965243	12.655543	12.688456	12.465181	11.982116	12.480048	12.261343	12.641020	12.745398	12.749080	12.828031	12.714536	12.727126	12.487424	12.644516	12.243892	12.577750	12.712023	12.568188	12.439177	12.072816	12.031360	12.463479	12.645472	12.285673	12.315109	12.084215	12.281853	12.195399	12.374354	12.595520	11.995609	11.877983	12.177763
Fos	5.566682	4.486177	6.200908	7.136897	6.117850	5.922421	7.335092	5.227659	5.048694	7.015203	8.214606	5.412375	8.739725	8.270466	7.071286	9.597532	8.513258	6.070228	4.961709	5.586556	6.263033	7.213203	5.139186	5.736689	7.284652	5.887518	6.327343	8.619773	9.115875	6.385917	8.269233	9.132093	7.810609	7.954385	8.691521	6.813693
Fosb	8.882930	7.890577	9.297450	10.920341	9.086631	7.997510	10.051157	8.213679	7.835167	10.085624	11.200225	7.943897	12.740063	11.831513	9.105900	13.427577	12.107807	10.875774	7.709364	8.513996	9.267634	9.810517	8.375380	7.860944	9.691495	7.697035	6.863228	11.532298	11.862460	8.591789	10.374043	11.022680	7.660944	9.567914	10.197830	7.523633
Fosl2	9.520568	9.691491	9.081840	9.060601	9.559097	8.861081	9.147303	9.028666	9.009568	8.978124	8.884619	8.532614	9.395018	9.081586	8.799129	9.331786	9.495529	8.554000	9.768269	9.515754	9.561181	8.759636	9.245605	8.335767	9.376173	8.897424	7.582538	9.328735	9.303432	10.366064	9.464243	9.215404	9.520683	9.814171	9.610671	9.891523
Foxc1	11.200733	10.963171	11.279931	11.227628	11.370240	11.020695	10.795954	10.862646	10.908138	11.082688	11.360960	10.820737	11.299646	11.256637	11.035919	10.942283	11.184285	10.841805	11.451979	11.754528	11.716610	11.588832	11.340744	11.111102	11.504787	11.413790	11.700337	11.343094	11.323554	11.070595	11.286802	11.453057	11.388525	11.533215	11.420971	11.484748
Foxj3	11.828302	11.842604	12.064236	12.048239	11.982690	11.338400	12.185711	11.830093	11.329065	12.108120	11.926826	11.746285	12.005734	11.741581	11.828528	11.994217	11.998579	12.180464	11.852267	11.412073	11.904742	11.228954	11.367898	11.125837	11.671521	11.289437	11.084654	11.490218	11.707003	11.874120	11.545335	11.543732	11.464737	11.655841	11.724552	11.527223
Foxm1	14.197340	14.137354	14.162950	13.906281	14.008808	14.080315	13.769457	13.971528	14.075721	14.071823	13.923726	13.988158	14.132752	14.099017	13.855619	14.058394	13.964421	13.988060	14.138426	14.351598	14.374147	14.337826	14.304888	14.290400	14.391953	14.376796	14.362879	14.409304	14.481461	14.450632	14.515040	14.509896	14.473379	13.971966	14.064847	13.953223
Foxo1	14.595685	14.474422	14.612130	14.455281	14.504211	14.416271	14.415748	14.397224	14.294072	14.547736	14.547188	14.382586	14.560782	14.454472	14.367592	14.447370	14.550145	14.378041	14.159570	14.218002	14.259840	14.779177	14.654604	14.622972	15.294229	15.041619	15.038647	15.323784	15.584526	15.507040	16.066196	15.880036	15.855405	16.550311	16.527472	16.690727
Foxo3	12.391343	12.186757	12.235477	12.294806	12.125464	11.361348	12.108490	11.853196	11.420294	12.353043	11.994297	11.620696	12.194515	11.737798	11.694773	12.092094	12.090614	12.225757	12.844492	12.503197	12.581370	11.800080	11.946042	11.356189	12.691431	12.343490	12.356956	13.041011	12.764782	12.918647	13.781021	13.641799	13.770624	13.959031	13.743888	13.860816
Foxo4	11.065424	11.037705	10.873897	10.931941	10.917213	11.013724	10.595884	10.762266	10.824611	10.977549	10.847185	10.897433	11.117641	11.001358	10.974622	10.954393	11.059571	10.855461	10.871431	10.985033	10.749263	10.947821	10.937927	10.795381	10.935141	10.918811	11.265782	11.663433	11.352455	11.692266	12.366706	12.177893	12.345491	12.505940	12.137832	12.429399
Fus	15.645459	15.661407	15.837375	15.992597	15.836485	15.551575	15.968751	15.833873	15.587822	15.980452	15.856500	15.698135	15.800862	15.685220	15.882550	15.774972	15.863527	15.851634	15.718222	15.484787	15.661810	15.854717	15.881996	15.692348	16.207001	16.110687	16.234130	15.736382	15.900559	15.979469	15.339309	15.566877	15.521536	15.177003	15.413590	15.319268
Gabpa	13.637632	13.570382	13.723913	13.559371	13.645315	13.207306	13.165087	13.284292	12.845340	13.659442	13.628713	13.208525	13.637367	13.526768	13.051564	13.585784	13.648511	13.134244	13.715575	13.676593	13.665810	13.688586	13.629594	13.245977	13.826348	13.686195	13.400705	13.471526	13.656522	13.604977	13.731041	13.864958	13.855404	13.896651	13.861668	13.782853
Gata3	4.605220	5.307172	5.476497	4.900056	5.064957	5.114284	4.623830	3.955148	5.749582	5.497475	4.091827	4.948593	4.852021	4.994505	5.212682	5.167512	4.853519	6.797876	5.751569	4.759318	6.050405	5.149603	5.052795	5.776656	6.151929	5.065783	7.060180	6.709891	5.510149	7.186910	6.826709	6.181251	6.516836	7.227594	7.896999	7.424172
Gfi1	5.615442	6.231854	6.108550	5.189089	5.862056	6.892676	6.298627	5.106068	5.813410	5.587127	5.756911	6.867754	5.273198	6.049326	6.992078	6.114954	5.477305	4.422951	7.634746	7.205090	7.402098	6.925467	7.040240	7.832919	5.412231	5.987902	6.521323	5.231158	6.390927	7.511906	7.671628	7.208844	8.126929	7.964400	8.026126	8.118753
Gfi1b	14.730975	14.730929	14.235235	14.696956	14.885255	14.720645	15.118491	14.728025	14.753205	15.024841	14.858018	14.927510	14.792826	14.631716	14.734411	14.797078	14.883694	14.946200	14.058517	14.127328	13.987729	13.085282	13.168706	12.986163	12.816169	12.658603	12.384371	12.027041	11.831687	11.660685	13.555962	13.300848	13.520360	13.153429	13.426028	12.915728
Gtf2a2	12.659168	12.770839	12.690431	12.820608	12.778541	13.190853	12.898490	13.034130	13.358961	12.630319	12.881982	13.046479	12.616414	12.840738	13.261890	12.829582	12.779138	13.021619	12.780200	12.674643	12.616051	12.930185	13.007449	13.635447	12.751789	13.130723	13.292206	12.937935	12.655333	13.054940	12.281611	12.459828	12.297152	12.266321	12.347119	12.315632
Gtf2h1	13.203069	13.325580	13.333777	13.312481	13.294362	13.498745	13.028171	13.300027	13.253116	13.222173	13.516727	13.441626	13.421822	13.650763	13.760176	13.328102	13.308811	13.312122	13.069654	13.118834	13.125091	13.389770	13.164529	13.477626	13.033987	13.068313	12.785945	12.774262	12.889595	12.580497	12.754458	12.886075	12.648735	12.870844	12.951800	12.839485
Gtf2i	13.463171	13.411576	13.459189	13.391555	13.366998	13.118310	13.106012	13.242130	13.260145	13.546885	13.516359	13.322712	13.682812	13.611414	13.369424	13.453801	13.461911	13.215763	13.548843	13.713286	13.585087	13.420487	13.195027	12.940049	13.177392	12.927324	13.037778	13.085176	12.858648	12.742607	12.958450	13.002807	13.127316	12.966658	12.970283	13.010260
Gtf2ird1	4.698222	5.304371	4.771773	5.376200	4.555956	6.545989	6.949065	4.822193	4.737924	4.393753	4.366231	5.024217	5.087786	4.221580	6.424024	4.545242	3.694722	4.727624	4.143613	4.127608	4.597061	4.504038	4.106953	5.850090	4.757731	4.774078	5.741930	5.803171	5.941962	5.080693	6.127873	6.248069	5.509983	6.357671	6.452592	5.511000
Havcr2	5.235269	5.147332	5.913501	5.836735	4.606779	4.957574	7.342579	5.866028	5.537137	6.255348	5.512230	6.407888	5.994803	5.605553	5.816610	5.500193	5.494870	5.530690	6.002469	5.019954	6.517383	5.704611	6.285736	5.355707	5.485637	5.108054	5.344106	4.114031	5.069469	5.578262	5.347001	5.835684	5.592065	5.497722	5.766633	4.526458
Hcfc1	15.072235	14.904013	15.439040	15.109631	15.100728	14.080782	14.748230	14.556389	13.869691	15.356885	14.947414	14.383993	15.145221	14.717555	13.911120	15.063510	14.883191	14.601688	15.075770	14.790350	15.442885	14.783068	14.614125	13.822275	15.272182	14.709570	14.253182	14.965717	15.125703	14.909516	15.217197	15.280977	15.190080	15.150568	14.850053	14.929916
Hdac1	14.094529	14.072967	14.003976	14.002218	13.966657	13.924027	14.109500	13.979824	14.010813	14.075214	14.024385	13.966228	14.216798	14.185661	14.034399	14.118377	14.185730	13.798173	14.161898	14.320213	14.250942	14.337623	14.250019	14.123255	14.442430	14.244602	14.227291	14.425246	14.398546	14.371644	14.455313	14.428233	14.523623	14.312675	14.354605	14.438896
Hdac2	12.962689	12.927568	12.942040	13.209664	12.895505	13.088810	12.778631	12.848074	13.262160	12.841289	13.226213	13.179527	13.009380	13.225351	13.471567	12.968905	13.005465	12.767601	12.991512	13.138980	12.926017	13.291463	12.955838	13.418936	12.924780	13.165264	13.490019	12.855736	12.524254	12.871272	12.425990	12.354497	12.524031	12.261766	12.366911	12.433993
Hdac3	14.064965	14.088667	13.938545	13.871706	13.952964	13.991468	14.146690	14.055792	14.220910	14.067875	14.036360	14.094052	13.938383	13.932603	14.107197	14.073961	14.109530	14.288720	14.006097	13.952112	13.938548	14.160173	14.348165	14.261665	14.316501	14.358268	14.455726	14.441141	14.500418	14.508289	14.362840	14.268897	14.224793	14.052807	14.206089	14.108038
Hdgf	15.974162	15.875553	15.921766	15.639141	15.802600	15.839230	15.593583	15.902496	15.878513	15.774478	15.728662	15.874492	15.981427	16.228740	15.666476	15.746401	15.796023	15.511711	15.722429	16.179241	16.092824	16.156695	15.848251	15.896942	15.653034	15.746747	15.723436	15.511867	15.627016	15.336473	15.068658	15.326187	15.415717	14.821298	14.964969	15.043538
Hes1	13.230396	13.311965	12.873142	12.553238	13.021577	13.389358	12.646369	13.077789	12.910387	12.651943	12.556043	13.002402	12.593575	12.768209	13.066477	12.462725	12.432588	12.520339	12.829755	12.954677	12.514445	13.270524	13.415300	13.485676	12.985008	13.546201	13.273575	12.234369	12.486085	12.615092	11.512651	11.826850	12.009860	11.587590	11.504782	11.789847
Hes6	14.727349	14.540664	14.527580	14.886916	14.723794	15.035284	14.497207	14.782541	14.914646	14.557727	14.643163	14.724534	14.498557	14.707727	14.738371	14.586373	14.522364	14.554827	14.362465	14.484708	14.201449	14.966481	14.764871	15.011207	14.969942	15.192642	15.341704	14.851096	14.618853	14.332283	15.223901	15.204143	15.229594	15.592830	15.465383	15.542748
Hes7	6.463585	7.459911	5.187624	5.362211	7.127606	7.050243	5.924800	6.606732	7.483419	6.231260	7.141176	6.759466	6.154165	6.596542	6.980316	7.281495	7.285770	7.887974	8.316521	8.707960	7.856528	5.914434	6.727505	6.448640	4.893556	5.357557	6.632792	5.920487	5.599337	6.303664	6.546354	5.236879	5.588150	5.572483	6.757808	5.776778
Hesx1	7.651062	8.246703	7.983679	8.799660	8.152050	9.235406	9.052069	7.846053	9.259860	6.748205	7.191490	7.774631	8.055377	8.438014	9.970756	6.887240	8.355538	7.044072	7.437504	7.047664	8.211293	8.856526	8.724768	9.044805	9.325212	8.655842	8.371367	9.213561	8.529098	9.892532	8.796217	8.872919	9.023046	7.445750	8.486504	8.064251
Hexim1	13.603365	13.305318	13.523276	13.751206	13.608805	13.564206	13.386555	13.785744	13.367061	13.643544	13.852898	13.402997	14.000525	14.253084	13.873013	13.944482	13.857433	13.635775	13.202334	13.488644	13.272654	13.729724	13.242770	13.423999	13.553461	13.804833	13.832853	13.927624	14.099293	13.107124	13.868943	14.238684	13.941141	13.913286	13.885109	14.001039
Hif1a	12.527177	12.337874	12.936315	12.452241	12.500520	11.522990	11.948018	12.102412	11.605351	12.713998	12.594811	11.953476	12.441688	12.375053	11.451651	12.437091	12.658899	11.985653	12.885777	12.735430	13.028022	12.779311	12.635237	11.799513	13.170854	12.838952	12.733155	12.684209	12.648789	12.610187	12.741264	12.878891	12.930881	13.025216	12.690422	12.984266
Hmga1	15.507202	15.605616	15.765930	15.530038	15.756698	15.296171	15.018634	15.382102	14.888999	15.285819	15.578162	15.229842	15.431052	15.468148	14.937120	15.318276	15.452201	14.996877	15.366542	15.372254	15.410008	15.908432	15.534284	15.354514	16.132523	16.039262	15.903138	16.041741	15.919004	15.626196	16.769987	16.855357	16.829568	17.383006	16.841137	17.101440
Hmgb2	15.929324	15.798661	15.777897	16.320997	15.723624	16.230014	15.057820	15.933167	15.901562	15.659598	15.816215	15.990376	16.022268	16.447213	16.119120	15.731394	15.677221	15.147522	15.691258	16.246240	15.634141	16.464997	16.097948	16.362624	16.205787	16.704742	16.709307	16.060228	15.813268	15.512080	16.019743	16.539609	16.438158	16.058920	16.268891	16.337838
Hnf1b	11.979056	11.929074	11.853777	11.730113	12.062946	11.993731	11.936114	11.968353	12.005578	11.938853	12.116693	11.946644	11.973311	11.998418	11.894891	12.028440	12.148953	12.183879	12.247551	12.403766	12.263832	10.511049	10.724529	10.667455	10.400709	10.458003	10.000826	10.682918	10.743067	10.660117	10.433923	10.467564	10.439287	10.642431	10.559818	10.701692
Hoxa5	4.913455	3.926322	5.318971	5.554176	4.009410	5.193965	5.410518	5.424183	5.659263	5.514964	5.310438	5.740355	4.941304	4.836314	5.359963	4.307105	4.341851	5.356489	3.830349	4.571233	5.228856	5.383250	4.634820	5.790922	5.775924	5.267520	7.356363	5.908161	5.538403	5.839906	3.958729	4.790397	4.973563	5.458947	5.313041	6.209170
Hoxb3	8.494646	8.305369	8.556345	8.093278	8.540503	7.937884	7.815201	8.453109	7.706505	8.106061	8.233387	8.172842	8.473114	8.435589	8.448987	8.601369	8.329972	9.119073	10.412674	10.113831	10.062276	9.144882	9.435178	9.649808	8.560036	9.211142	8.065939	8.722522	9.487470	9.224402	8.884163	9.226268	9.231884	8.771432	9.231235	8.665699
Hoxb4	10.564722	10.640414	10.583311	10.352103	10.580921	10.960929	10.968104	10.856755	11.004862	10.248949	10.369815	10.754422	10.345268	10.575298	10.978779	10.615012	10.508934	10.933813	10.708469	10.804866	10.894854	10.648854	10.713515	11.458130	10.396856	10.849763	10.801879	10.492937	10.874097	11.137771	10.082815	10.549996	10.655751	10.337241	10.885615	10.806189
Hsf1	14.318650	14.543229	14.480677	14.212421	14.324807	14.360498	14.418849	14.173088	14.262289	14.353366	14.268448	14.360788	14.234282	14.030185	14.303331	14.401666	14.365947	14.726966	14.209335	14.107849	14.406071	14.051919	14.222384	14.251934	13.949291	13.956459	13.963636	14.011689	14.184527	14.294291	13.729028	13.778523	13.625996	13.525513	13.625362	13.375650
Htatip2	12.514183	12.550732	12.512408	12.998083	12.763796	12.709314	12.524659	12.739676	12.668642	12.547010	12.566112	12.413897	12.682856	12.683180	12.785782	12.511243	12.493134	12.357893	12.316306	12.221420	12.316913	12.806358	12.570372	12.733385	13.026898	13.169876	13.352140	13.162097	12.941971	13.101444	13.000705	13.056570	12.928220	12.996376	12.926796	13.192671
Id1	8.738776	9.157167	8.692725	8.365037	8.638412	9.241923	7.953255	9.277804	9.471132	8.624156	9.453332	9.544951	8.194715	9.043881	9.817115	8.500267	9.687550	9.424239	7.825070	7.053201	7.170106	7.167189	6.289830	6.323995	7.397480	7.528071	6.065549	7.649344	7.541995	7.938248	9.540081	9.418881	8.704091	9.834402	9.911323	9.692123
Id2	10.203475	9.749219	9.907255	9.433181	9.806811	10.262434	9.930834	10.046062	10.284459	9.081695	9.725640	9.239125	9.235029	9.919199	10.206172	9.590086	9.969317	9.339589	11.702347	11.768523	10.994213	10.458429	9.876511	10.090193	10.572866	9.882451	10.028767	10.604812	10.321497	8.857460	11.230733	10.582606	10.889661	10.581550	10.836847	10.502650
Id3	4.479220	5.093534	5.423802	5.264374	5.187218	6.045199	5.263948	5.336115	5.620633	5.224145	5.748867	6.617974	5.059466	6.238996	7.156066	5.924016	6.398397	7.516166	6.762040	6.072164	6.074532	6.286202	6.317761	7.300867	6.047327	6.017139	7.268684	6.346573	6.100662	5.860933	7.923994	7.642975	8.293410	6.367295	7.337807	7.762951
Ikbkb	12.438688	12.454208	12.175778	12.243233	12.352639	12.532361	12.167582	12.442063	12.611855	12.276377	12.144145	12.494554	12.337824	12.391619	12.316814	12.358861	12.274394	12.170930	12.045183	12.232690	12.038767	12.367849	12.328491	12.382628	12.293347	12.550711	12.232868	12.425010	12.373418	12.560833	12.292018	12.316551	12.359571	12.244842	12.346825	12.376291
Ikzf1	14.765170	14.592236	14.742583	14.710625	14.728386	14.167235	14.471616	14.430963	13.950913	14.850584	14.610261	14.257959	14.668906	14.555682	14.145804	14.582177	14.614737	14.647520	20.018732	19.709348	19.944335	19.900972	20.226976	19.633404	20.798270	20.568433	20.278662	20.760213	20.792768	20.521672	20.664560	20.650257	20.664100	20.931998	20.476144	20.721432
Ikzf3	6.696497	6.447917	7.344291	6.960885	6.957321	6.998365	7.453499	7.246494	7.300716	7.452516	6.483760	6.098542	7.850397	7.101835	8.535320	7.023639	7.235998	8.771764	9.171010	8.656017	9.321686	7.390550	6.801142	8.206439	7.314735	6.853691	8.363783	8.296758	7.349251	8.417444	5.578093	6.627668	7.005372	6.799327	4.880095	6.596146
Ilf3	15.096674	14.972928	15.186805	14.867261	15.068649	14.702310	14.671554	14.821708	14.502812	15.083848	14.965365	14.779929	15.184971	15.060364	14.489213	14.968888	14.922856	14.629764	15.111451	15.231540	15.241192	15.174581	14.992948	14.568068	15.297106	15.066506	14.772759	15.215218	15.413408	14.943430	15.630141	15.664340	15.655731	15.708329	15.393590	15.672151
Ilk	13.678487	13.702172	13.386186	13.670544	13.569839	13.785363	13.892418	13.707909	13.671003	13.715399	13.557971	13.714272	13.691963	13.675619	13.928174	13.687699	13.810951	13.767065	13.777596	13.834353	13.639213	13.977909	13.886696	13.936343	14.095815	13.958070	14.031198	14.233620	14.246901	14.013782	14.223392	14.140364	14.136023	14.040875	14.097565	14.165721
Ing1	12.477892	12.370518	12.281644	12.159594	12.241907	11.731006	12.212187	12.171173	12.113712	12.242719	12.117961	12.052882	12.391299	12.390183	11.836459	12.079595	12.178981	11.486240	12.521958	12.688765	12.485441	12.709895	12.513222	12.149820	12.532040	12.490327	11.929884	12.441212	12.223309	12.322316	12.589001	12.696882	12.883948	12.567090	12.495722	12.703772
Irf1	11.377117	11.414952	11.466397	11.059928	11.364047	11.232205	11.175197	11.342918	11.369527	11.265409	11.205032	11.191243	11.370032	11.169516	10.873418	11.202126	11.218352	11.156594	10.841425	10.871798	10.780745	11.766045	11.797613	11.594468	12.035080	11.997886	12.299014	12.446800	12.099345	12.415010	12.797128	12.663930	12.868724	13.397246	13.072870	13.330356
Irf2	14.362378	14.352351	14.179669	14.218596	14.349303	13.574043	14.292859	14.004242	13.527593	14.374507	14.045764	13.878103	14.102349	13.622303	13.621334	14.104531	14.198912	14.300894	14.212887	13.943931	14.152599	13.247435	13.694212	13.001392	14.188858	13.980346	13.469820	14.281510	14.724134	15.040025	14.580582	14.503219	14.534278	14.835483	15.069608	14.842072
Irf3	13.467174	13.476581	13.537724	13.434027	13.413073	13.763186	13.498364	13.629720	13.875237	13.393176	13.464389	13.795812	13.469601	13.769279	13.747545	13.495009	13.282876	13.107678	13.340471	13.743135	13.408090	13.836167	13.495947	14.010864	13.532927	13.689081	13.856950	13.602047	13.595226	13.352294	13.416716	13.509350	13.622492	13.434342	13.591444	13.750508
